,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,0.2624188510504526,0.849345761998925,1.0110650225650115,1.0628474935848535,1.0562293634214113,4.01588251961435,1.1468752130696345,0.8984465866837746,2.540378411140167
christine,0.2624188510504526,0.0,24.218782961777062,18.81195704321253,30.988722380973584,27.579022349320994,37.623268864932285,22.608032038072665,24.11919209492616,29.177018937270287
jory,0.849345761998925,24.218782961777062,0.0,15.814681422889599,31.300632322857748,57.411166644857246,33.203266827424216,8.761571407275301,27.948168032939577,3.108974107910327
mahoudeau,1.0110650225650115,18.81195704321253,15.814681422889599,0.0,36.05894311350309,76.15906277161115,51.406169210071056,14.754426371480054,29.36476683922607,5.120855094271606
fagerolles,1.0628474935848535,30.988722380973584,31.300632322857748,36.05894311350309,0.0,109.74596499902395,19.758598066012613,9.393736891099053,32.401821567841836,27.18391941513925
dubuche,1.0562293634214113,27.579022349320994,57.411166644857246,76.15906277161115,109.74596499902395,0.0,116.16409310677554,40.829318502038774,22.15067304710516,62.2902394545598
bongrand,4.01588251961435,37.623268864932285,33.203266827424216,51.406169210071056,19.758598066012613,116.16409310677554,0.0,60.433639194962176,99.58745219810599,95.80415880838213
gagniere,1.1468752130696345,22.608032038072665,8.761571407275301,14.754426371480054,9.393736891099053,40.829318502038774,60.433639194962176,0.0,79.52146312123718,60.30795039644449
sandoz,0.8984465866837746,24.11919209492616,27.948168032939577,29.36476683922607,32.401821567841836,22.15067304710516,99.58745219810599,79.52146312123718,0.0,44.32059123031317
mathilde,2.540378411140167,29.177018937270287,3.108974107910327,5.120855094271606,27.18391941513925,62.2902394545598,95.80415880838213,60.30795039644449,44.32059123031317,0.0
