,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,3275.989681032676,4608.188859328021,2591.7444997673038,3960.673252291492,895.9986489057285,230.98941206430771,6578.859349861544,4056.080013159124,7476.567629995503
barlow,3275.989681032676,0.0,890.2702792655784,5069.811368703312,3677.2105684361277,7759.157658692538,8419.514563695895,1368.631698685313,6340.4433581824915,1446.51429328449
titbull,4608.188859328021,890.2702792655784,0.0,3907.8876586460087,2442.449487623692,6443.641610407256,7103.847704041581,36.97178926288394,4701.9885431498005,25.892629043924288
testator,2591.7444997673038,5069.811368703312,3907.8876586460087,0.0,1686.2075398707743,2053.8852332891784,2714.397290629211,4698.113260105053,646.5737751755607,5541.1370960663235
flipfield,3960.673252291492,3677.2105684361277,2442.449487623692,1686.2075398707743,0.0,3850.9488394623786,4511.400963093406,2790.6428734094484,1528.719667593059,3344.378323692448
pangloss,895.9986489057285,7759.157658692538,6443.641610407256,2053.8852332891784,3850.9488394623786,0.0,659.2743041577872,6898.504662064714,3179.2364335415127,8073.019875170097
grazinglands,230.98941206430771,8419.514563695895,7103.847704041581,2714.397290629211,4511.400963093406,659.2743041577872,0.0,7607.702036495167,4008.0985951011244,8901.813313468603
battens,6578.859349861544,1368.631698685313,36.97178926288394,4698.113260105053,2790.6428734094484,6898.504662064714,7607.702036495167,0.0,4738.39436572347,92.99873351129709
klem,4056.080013159124,6340.4433581824915,4701.9885431498005,646.5737751755607,1528.719667593059,3179.2364335415127,4008.0985951011244,4738.39436572347,0.0,4893.3367302860615
mitts,7476.567629995503,1446.51429328449,25.892629043924288,5541.1370960663235,3344.378323692448,8073.019875170097,8901.813313468603,92.99873351129709,4893.3367302860615,0.0
