,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,402.4407997570751,204.51735339718968,31.945574046221893,128.13393319059674,168.18381418479484,6.619475472575587,115.1180885155039,576.2970032350084,13.074885751101158
redgauntlet,402.4407997570751,0.0,110.65921999506264,182.27538413781838,492.0448487931067,177.59549193913963,392.45995435599997,847.2064439714604,25.87970679310601,333.1165104343764
darsie,204.51735339718968,110.65921999506264,0.0,117.31319841231266,353.4514920381179,147.69754582066267,310.1913800662559,353.28475177476486,38.92709855577232,116.49216977772608
alan fairford,31.945574046221893,182.27538413781838,117.31319841231266,0.0,297.66626662037663,204.42135584779405,113.89908799662192,529.929478324378,444.2993052065102,63.70316600593235
herries,128.13393319059674,492.0448487931067,353.4514920381179,297.66626662037663,0.0,597.5804669004957,264.9571545227853,549.220247094584,1190.8548381289017,316.3357015094733
peter,168.18381418479484,177.59549193913963,147.69754582066267,204.42135584779405,597.5804669004957,0.0,395.75809210734843,859.711398153936,428.5122538103579,356.12553741905685
fairford,6.619475472575587,392.45995435599997,310.1913800662559,113.89908799662192,264.9571545227853,395.75809210734843,0.0,643.5480667714853,1182.4194707036404,188.22988675896053
joshua,115.1180885155039,847.2064439714604,353.28475177476486,529.929478324378,549.220247094584,859.711398153936,643.5480667714853,0.0,1644.2325576143085,517.7427224702445
nixon,576.2970032350084,25.87970679310601,38.92709855577232,444.2993052065102,1190.8548381289017,428.5122538103579,1182.4194707036404,1644.2325576143085,0.0,1275.1176315019532
darsie latimer,13.074885751101158,333.1165104343764,116.49216977772608,63.70316600593235,316.3357015094733,356.12553741905685,188.22988675896053,517.7427224702445,1275.1176315019532,0.0
