,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,102.97882603951317,67.42919691032428,61.75868789120652,9.99551816246768,80.387163566367,39.50440291455374,33.84132733565438,6.248920478480197,15.019747278134771
herbert,102.97882603951317,0.0,86.98311911019219,49.421560498907716,175.98308907977886,22.401976042725174,79.42405874832981,159.5443162231134,407.72962062898415,395.4417718501493
estella,67.42919691032428,86.98311911019219,0.0,69.61020884794273,103.58912120372662,63.84032907019511,29.266828741204296,26.027230637423393,162.6763215588818,106.33328596610461
jaggers,61.75868789120652,49.421560498907716,69.61020884794273,0.0,141.8031888423704,26.63342122093074,48.936497959056666,95.80329218326924,286.2417804605414,232.7971741049089
biddy,9.99551816246768,175.98308907977886,103.58912120372662,141.8031888423704,0.0,181.10234685337716,97.48437324968766,98.35800035091582,91.0327965012087,128.36220405732826
wemmick,80.387163566367,22.401976042725174,63.84032907019511,26.63342122093074,181.10234685337716,0.0,70.83958458091284,146.88504082841624,377.9721382545283,347.8080706376187
pip,39.50440291455374,79.42405874832981,29.266828741204296,48.936497959056666,97.48437324968766,70.83958458091284,0.0,74.44569924304493,172.9026333934462,128.71325597473034
havisham,33.84132733565438,159.5443162231134,26.027230637423393,95.80329218326924,98.35800035091582,146.88504082841624,74.44569924304493,0.0,103.10274028258141,72.37958926977863
pumblechook,6.248920478480197,407.72962062898415,162.6763215588818,286.2417804605414,91.0327965012087,377.9721382545283,172.9026333934462,103.10274028258141,0.0,91.28962085495398
wopsle,15.019747278134771,395.4417718501493,106.33328596610461,232.7971741049089,128.36220405732826,347.8080706376187,128.71325597473034,72.37958926977863,91.28962085495398,0.0
