,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,1.074074515837736,2.687551362396301,11.4979592501338,1.0294290840688032,6.471930128542957,12.671328708598175,37.386607479279384,28.082054047234553,10.252282733219392
marie,1.074074515837736,0.0,12.834881372102485,29.257909274894306,17.457325329563503,13.361091962316719,32.82043325644336,47.81020792729196,57.69383963663598,13.003907527580656
lourdes,2.687551362396301,12.834881372102485,0.0,20.370173916941614,37.80930710479255,16.13673486120534,27.62369030707879,61.88966207192321,46.019154555982894,20.550153704709437
bernadette,11.4979592501338,29.257909274894306,20.370173916941614,0.0,103.17641614518126,101.37363653962554,125.46312129528651,139.8196054542439,164.34513266443267,139.8499399838871
m. de guersaint,1.0294290840688032,17.457325329563503,37.80930710479255,103.17641614518126,0.0,177.7393439926351,71.7151215652129,213.05187976989876,89.82821227679388,62.429006862935815
hyacinthe,6.471930128542957,13.361091962316719,16.13673486120534,101.37363653962554,177.7393439926351,0.0,191.70062004774718,156.5367375933868,257.11696464708297,22.04930068749666
raymonde,12.671328708598175,32.82043325644336,27.62369030707879,125.46312129528651,71.7151215652129,191.70062004774718,0.0,185.91195647724606,90.62454904352663,279.5815849328994
berthaud,37.386607479279384,47.81020792729196,61.88966207192321,139.8196054542439,213.05187976989876,156.5367375933868,185.91195647724606,0.0,166.1223542570198,447.2747045284336
gerard,28.082054047234553,57.69383963663598,46.019154555982894,164.34513266443267,89.82821227679388,257.11696464708297,90.62454904352663,166.1223542570198,0.0,542.801090660054
la grivotte,10.252282733219392,13.003907527580656,20.550153704709437,139.8499399838871,62.429006862935815,22.04930068749666,279.5815849328994,447.2747045284336,542.801090660054,0.0
