,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,25.49830467454672,96.10215270123686,192.28368729533113,59.73927099388937,140.25688480407064,97.35659332504638,114.49921935883307,133.68463818244007,154.5875455149229
glenvarloch,25.49830467454672,0.0,63.175417722523726,134.54848320247763,104.17859694128317,144.71831281468087,55.88765503346325,68.20433830954698,115.744101674717,105.41028804032487
dalgarno,96.10215270123686,63.175417722523726,0.0,185.52869016637302,247.13684235212415,330.35825994458406,149.79823087987884,242.976058978269,354.886432010047,87.78058604821446
richie,192.28368729533113,134.54848320247763,185.52869016637302,0.0,243.630978571543,745.2545015032024,162.8905412696644,235.08538526387588,287.22593456189645,474.62722189371397
heriot,59.73927099388937,104.17859694128317,247.13684235212415,243.630978571543,0.0,558.8032092672738,249.00086433270423,59.51340574758632,137.28987464535834,145.26273150104117
margaret,140.25688480407064,144.71831281468087,330.35825994458406,745.2545015032024,558.8032092672738,0.0,477.9017831954886,565.8434128406737,686.0119118919617,643.9002345126869
mungo,97.35659332504638,55.88765503346325,149.79823087987884,162.8905412696644,249.00086433270423,477.9017831954886,0.0,146.7917551540437,260.5335160128353,388.5028449971187
george heriot,114.49921935883307,68.20433830954698,242.976058978269,235.08538526387588,59.51340574758632,565.8434128406737,146.7917551540437,0.0,169.80603245207996,353.6256649768648
james,133.68463818244007,115.744101674717,354.886432010047,287.22593456189645,137.28987464535834,686.0119118919617,260.5335160128353,169.80603245207996,0.0,513.1167757302345
huntinglen,154.5875455149229,105.41028804032487,87.78058604821446,474.62722189371397,145.26273150104117,643.9002345126869,388.5028449971187,353.6256649768648,513.1167757302345,0.0
