,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,13.517730797263816,15.884174064642867,20.293009933713996,150.988162565217,174.58659173421498,11.06977583843677,32.31311180110438,40.361169178221935,27.19740819076231
mary,13.517730797263816,0.0,6.380574797912604,42.35622253394335,161.1221802613744,208.50453819874636,31.19993548582241,93.07184731901441,30.075340191680365,30.92388831223082
edward,15.884174064642867,6.380574797912604,0.0,67.19187847335364,181.27954098881088,230.84700001491854,46.104907410398035,190.32038771769814,60.82433883459499,30.63601146887905
burgess,20.293009933713996,42.35622253394335,67.19187847335364,0.0,113.71606096657408,123.64153582826168,266.5874909786353,169.84341097874557,318.64632614802264,258.3976092590245
wilson,150.988162565217,161.1221802613744,181.27954098881088,113.71606096657408,0.0,16.49616420771912,384.7529523564587,292.39022832295245,725.9934385972181,439.875603314324
billson,174.58659173421498,208.50453819874636,230.84700001491854,123.64153582826168,16.49616420771912,0.0,386.76902250112545,295.87414398798876,598.8860922198304,933.9780713645704
stephenson,11.06977583843677,31.19993548582241,46.104907410398035,266.5874909786353,384.7529523564587,386.76902250112545,0.0,254.58582598544754,164.08180571640202,1023.351552339586
halliday,32.31311180110438,93.07184731901441,190.32038771769814,169.84341097874557,292.39022832295245,295.87414398798876,254.58582598544754,0.0,388.5953904339865,1318.1008333190723
goodson,40.361169178221935,30.075340191680365,60.82433883459499,318.64632614802264,725.9934385972181,598.8860922198304,164.08180571640202,388.5953904339865,0.0,2115.6017024918647
harkness,27.19740819076231,30.92388831223082,30.63601146887905,258.3976092590245,439.875603314324,933.9780713645704,1023.351552339586,1318.1008333190723,2115.6017024918647,0.0
