,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,107.95710875836582,608.3524633007763,102.78160237462168,91.01534266458427,66.62632795882058,406.38700111395514,677.0126555185524,39.19144131843308,903.9084795181716
makar alexievitch,107.95710875836582,0.0,655.2232792502808,53.9812496460908,37.417236969507584,18.643204886715615,326.4746904992371,290.2143187393877,180.12558986889835,752.0985733680255
pokrovski,608.3524633007763,655.2232792502808,0.0,1231.918058180299,1815.9093187159533,1855.4197149585407,474.72143030048926,2416.2902557711955,1765.3393109220083,196.72870536718867
barbara alexievna,102.78160237462168,53.9812496460908,1231.918058180299,0.0,238.79011189208765,79.06341371551355,645.2659977761947,725.6498671075602,541.3732905040589,1252.476526068009
thedora,91.01534266458427,37.417236969507584,1815.9093187159533,238.79011189208765,0.0,103.70581374364286,1028.6451750277897,716.6233773821112,726.9332146384493,2207.176290681574
makar dievushkin,66.62632795882058,18.643204886715615,1855.4197149585407,79.06341371551355,103.70581374364286,0.0,1140.440127516194,766.4802502120893,846.0492434002708,2158.365021542315
anna thedorovna,406.38700111395514,326.4746904992371,474.72143030048926,645.2659977761947,1028.6451750277897,1140.440127516194,0.0,1966.8228793769117,915.4590212356735,720.0979117402428
bwikov,677.0126555185524,290.2143187393877,2416.2902557711955,725.6498671075602,716.6233773821112,766.4802502120893,1966.8228793769117,0.0,1735.7162757516583,3499.8378821566316
rataziaev,39.19144131843308,180.12558986889835,1765.3393109220083,541.3732905040589,726.9332146384493,846.0492434002708,915.4590212356735,1735.7162757516583,0.0,2491.949557761057
anna,903.9084795181716,752.0985733680255,196.72870536718867,1252.476526068009,2207.176290681574,2158.365021542315,720.0979117402428,3499.8378821566316,2491.949557761057,0.0
