,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,257.1804478027726,198.00817280146666,188.35274249821907,252.4818334964408,610.4123527586439,425.72916325730426,219.85970104595427,342.0939434616443,429.3615307909478
ferguson,257.1804478027726,0.0,382.86422085420867,101.44491667322218,239.95433394520518,217.40839683850686,514.6831806682086,466.52057290800946,519.4347272839425,803.9993793695926
stillman,198.00817280146666,382.86422085420867,0.0,297.9972592526006,400.4541495241068,707.8500335282096,484.1217654245367,315.67680743599055,296.90277767921094,418.57489631855196
ham sandwich,188.35274249821907,101.44491667322218,297.9972592526006,0.0,227.97147665144132,396.7916223372654,293.33973311896915,275.0563064826181,280.4802653327869,524.0116555069724
flint buckner,252.4818334964408,239.95433394520518,400.4541495241068,227.97147665144132,0.0,410.61516716587147,312.00774373477606,432.15783390254626,380.16972651516164,507.9131033636308
buckner,610.4123527586439,217.40839683850686,707.8500335282096,396.7916223372654,410.61516716587147,0.0,1180.4887299876348,1157.1509629134152,941.5984924137879,1032.1496263943955
sherlock holmes,425.72916325730426,514.6831806682086,484.1217654245367,293.33973311896915,312.00774373477606,1180.4887299876348,0.0,183.63006005783652,263.7533745681329,303.05219904123527
holmes,219.85970104595427,466.52057290800946,315.67680743599055,275.0563064826181,432.15783390254626,1157.1509629134152,183.63006005783652,0.0,276.18566494047633,290.04781816095647
fetlock jones,342.0939434616443,519.4347272839425,296.90277767921094,280.4802653327869,380.16972651516164,941.5984924137879,263.7533745681329,276.18566494047633,0.0,272.1786042021551
hillyer,429.3615307909478,803.9993793695926,418.57489631855196,524.0116555069724,507.9131033636308,1032.1496263943955,303.05219904123527,290.04781816095647,272.1786042021551,0.0
