,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,5.607230474034425,7.113118997973143,22.27350910926413,12.959573781427855,7.876223127514542,23.83249108826616,21.123749418157384,7.604705881278359,20.984825570336117
bumble,5.607230474034425,0.0,28.065176253998718,50.169713334071375,55.95470978023564,30.63719009301128,43.16251547208807,35.316520449020324,39.83703323254555,42.958828293514514
sikes,7.113118997973143,28.065176253998718,0.0,25.101768027390733,26.244860040599608,52.37383190854661,79.02049257523603,54.533008946003676,1.7472836374107643,1.1589935342043527
fagin,22.27350910926413,50.169713334071375,25.101768027390733,0.0,26.789422004608106,45.06809578162158,97.27531591136362,29.80674961393509,6.407144947351261,2.720993576619839
brownlow,12.959573781427855,55.95470978023564,26.244860040599608,26.789422004608106,0.0,102.52049798586968,189.17703145721438,66.3014138940252,44.39366884427951,54.19118142947006
rose,7.876223127514542,30.63719009301128,52.37383190854661,45.06809578162158,102.52049798586968,0.0,77.43106849504089,146.46629681968477,144.56656723295154,144.55643832369188
giles,23.83249108826616,43.16251547208807,79.02049257523603,97.27531591136362,189.17703145721438,77.43106849504089,0.0,216.10637743699195,153.9157695565936,172.80080590959435
noah,21.123749418157384,35.316520449020324,54.533008946003676,29.80674961393509,66.3014138940252,146.46629681968477,216.10637743699195,0.0,122.3871303598472,113.2196483259513
nancy,7.604705881278359,39.83703323254555,1.7472836374107643,6.407144947351261,44.39366884427951,144.56656723295154,153.9157695565936,122.3871303598472,0.0,19.311170095000495
bill,20.984825570336117,42.958828293514514,1.1589935342043527,2.720993576619839,54.19118142947006,144.55643832369188,172.80080590959435,113.2196483259513,19.311170095000495,0.0
