,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,0.5241477008469243,1.7832521284647624,2.1654366049312936,2.344269319609187,2.234461352567074,9.280430543863886,2.6398565826647196,2.0618200782097023,6.14136008095675
christine,0.5241477008469243,0.0,51.65104242964733,39.943025771659805,68.06358101488556,56.89794499521608,86.54937096177898,51.363105042471425,54.125608269117144,69.72835964687802
jory,1.7832521284647624,51.65104242964733,0.0,34.16354849564069,68.64301982525176,120.41676803436543,76.773392799874,19.982588997601248,63.79091416182898,7.479073003997788
mahoudeau,2.1654366049312936,39.943025771659805,34.16354849564069,0.0,78.14596547527985,161.18452058434818,118.36577038593187,33.83464371908706,67.26059766464762,12.722660581330477
fagerolles,2.344269319609187,68.06358101488556,68.64301982525176,78.14596547527985,0.0,233.8914689434222,45.563855112129964,21.950407891282406,72.72468874908445,65.80534932697078
dubuche,2.234461352567074,56.89794499521608,120.41676803436543,161.18452058434818,233.8914689434222,0.0,262.5764074144607,95.33593844983133,52.6640159934546,153.00604619951
bongrand,9.280430543863886,86.54937096177898,76.773392799874,118.36577038593187,45.563855112129964,262.5764074144607,0.0,141.8346093671589,229.8063499115834,236.30405313348294
gagniere,2.6398565826647196,51.363105042471425,19.982588997601248,33.83464371908706,21.950407891282406,95.33593844983133,141.8346093671589,0.0,180.866772035051,147.1844352513617
sandoz,2.0618200782097023,54.125608269117144,63.79091416182898,67.26059766464762,72.72468874908445,52.6640159934546,229.8063499115834,180.866772035051,0.0,108.36843711173944
mathilde,6.14136008095675,69.72835964687802,7.479073003997788,12.722660581330477,65.80534932697078,153.00604619951,236.30405313348294,147.1844352513617,108.36843711173944,0.0
