,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,42.883612855941415,131.37268845085626,8.624889256549846,118.89904478992683,70.86374679297644,125.68756298841296,106.06927307688603,115.60925491410045,13.058069836237676
andrew,42.883612855941415,0.0,171.53827431784515,84.19952819929482,77.04598293407334,55.982517736947194,131.0487796531353,50.81023518283511,106.45893535919163,41.557390204656066
rob roy,131.37268845085626,171.53827431784515,0.0,188.76988122970013,243.7302466221597,169.10580573050333,71.1443702963358,232.26081473986798,43.49082473918833,150.98494469979585
vernon,8.624889256549846,84.19952819929482,188.76988122970013,0.0,250.05661991317157,105.3915444434923,258.2210037843654,227.96700648976952,206.04931420823598,59.67274780700191
bailie,118.89904478992683,77.04598293407334,243.7302466221597,250.05661991317157,0.0,181.93132817935435,110.89571540497731,26.40114074763984,149.48468548322154,173.23993340266736
owen,70.86374679297644,55.982517736947194,169.10580573050333,105.3915444434923,181.93132817935435,0.0,150.9599271596159,119.92283953794477,95.43541711948174,61.59397582063095
macgregor,125.68756298841296,131.0487796531353,71.1443702963358,258.2210037843654,110.89571540497731,150.9599271596159,0.0,192.44503642952515,67.52549441957724,191.63348837964654
jarvie,106.06927307688603,50.81023518283511,232.26081473986798,227.96700648976952,26.40114074763984,119.92283953794477,192.44503642952515,0.0,134.78268598828663,156.11069824949232
rob,115.60925491410045,106.45893535919163,43.49082473918833,206.04931420823598,149.48468548322154,95.43541711948174,67.52549441957724,134.78268598828663,0.0,137.7801913839658
osbaldistone,13.058069836237676,41.557390204656066,150.98494469979585,59.67274780700191,173.23993340266736,61.59397582063095,191.63348837964654,156.11069824949232,137.7801913839658,0.0
