,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,14.386576002789665,2.9226827476951622,3.6750896556851167,18.55078535305686,13.326608825872016,16.845982080860807,13.864007742202523,6.62717199572885,37.249015999324456
pross,14.386576002789665,0.0,74.34296249311795,35.621468423032105,25.842849553438537,78.20763658649346,103.67923314128726,112.12039616088119,33.436383086641975,33.78120189794729
manette,2.9226827476951622,74.34296249311795,0.0,62.21353384463949,68.25690418676572,38.93876162957992,42.477906946829115,42.215513875870904,25.200787306311174,70.57156569814195
lucie,3.6750896556851167,35.621468423032105,62.21353384463949,0.0,74.26554354475002,48.797046650121004,132.9012184509125,167.1807034183679,40.11669684022438,83.59545331212499
cruncher,18.55078535305686,25.842849553438537,68.25690418676572,74.26554354475002,0.0,71.339266486923,139.25716880633175,148.56841226565302,77.0161490575057,37.482048653581835
defarge,13.326608825872016,78.20763658649346,38.93876162957992,48.797046650121004,71.339266486923,0.0,133.3024027465212,133.2110779292388,67.8396277471342,63.86216872543263
stryver,16.845982080860807,103.67923314128726,42.477906946829115,132.9012184509125,139.25716880633175,133.3024027465212,0.0,106.09937346270941,92.08552652112374,341.2863862993389
jerry,13.864007742202523,112.12039616088119,42.215513875870904,167.1807034183679,148.56841226565302,133.2110779292388,106.09937346270941,0.0,124.05139446760353,272.82924050673887
darnay,6.62717199572885,33.436383086641975,25.200787306311174,40.11669684022438,77.0161490575057,67.8396277471342,92.08552652112374,124.05139446760353,0.0,146.2812413338418
madame defarge,37.249015999324456,33.78120189794729,70.57156569814195,83.59545331212499,37.482048653581835,63.86216872543263,341.2863862993389,272.82924050673887,146.2812413338418,0.0
