,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,284.12883913267393,223.61217093269514,615.0104045238143,1154.7551856516623,310.3828929852645,1224.4124421961903,1275.8833492291992,305.0459430604259,190.36158940412935
brown,284.12883913267393,0.0,79.38634640515309,564.6164348575504,727.1174220120773,51.02204638688151,913.9195113750108,775.714332219813,1331.7231018371467,323.6407444950291
stephen,223.61217093269514,79.38634640515309,0.0,682.1162609701693,1282.7231406284059,5.733969996336267,1324.9138001580782,1509.7639144627847,1139.108465393509,349.4789828105093
napoleon,615.0104045238143,564.6164348575504,682.1162609701693,0.0,355.3479244663443,806.7306590328262,214.30972389435445,389.170148962198,1315.0463417228339,967.0714015850351
mabry,1154.7551856516623,727.1174220120773,1282.7231406284059,355.3479244663443,0.0,1267.6340374660074,184.75530387445505,0.26874899193699614,3012.198893227618,1779.660470965161
yates,310.3828929852645,51.02204638688151,5.733969996336267,806.7306590328262,1267.6340374660074,0.0,1321.173688599698,1506.023841771323,1393.246136786506,587.8311981423805
backus,1224.4124421961903,913.9195113750108,1324.9138001580782,214.30972389435445,184.75530387445505,1321.173688599698,0.0,184.73589444100836,2813.4708780844853,1626.5110302773442
o'connor,1275.8833492291992,775.714332219813,1509.7639144627847,389.170148962198,0.26874899193699614,1506.023841771323,184.73589444100836,0.0,3012.1552404469817,1780.3313553347286
bob,305.0459430604259,1331.7231018371467,1139.108465393509,1315.0463417228339,3012.198893227618,1393.246136786506,2813.4708780844853,3012.1552404469817,0.0,1336.495682813838
tom,190.36158940412935,323.6407444950291,349.4789828105093,967.0714015850351,1779.660470965161,587.8311981423805,1626.5110302773442,1780.3313553347286,1336.495682813838,0.0
