,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,7.708597438030413,7.161595475711175,1.897299507903395,11.579672099535006,8.28832722388637,8.77436754343637,8.243576060836967,0.693973499057258,8.32298525983081
sonia,7.708597438030413,0.0,53.89286782315847,69.81339428236333,9.475933408215928,31.287274593310055,26.725090084254752,61.27688960356241,25.388511917669092,48.438840648277285
dounia,7.161595475711175,53.89286782315847,0.0,51.94376526103648,52.757162475342746,33.32613554201865,41.649783283230214,2.54509989505392,41.39998398960345,6.452080983846418
razumihin,1.897299507903395,69.81339428236333,51.94376526103648,0.0,65.14044315547285,121.49926246919324,46.6020991518237,4.5508938340339,21.58646053299976,8.331787757731977
katerina ivanovna,11.579672099535006,9.475933408215928,52.757162475342746,65.14044315547285,0.0,84.7396335179446,22.27184464698055,95.95614987219943,56.18420987639226,63.256540306403075
svidrigaïlov,8.28832722388637,31.287274593310055,33.32613554201865,121.49926246919324,84.7396335179446,0.0,164.94560830931206,231.27609788159359,123.45374284093842,144.47092991957896
pyotr petrovitch,8.77436754343637,26.725090084254752,41.649783283230214,46.6020991518237,22.27184464698055,164.94560830931206,0.0,96.09408726396218,52.59909233030396,70.39185786697519
pulcheria alexandrovna,8.243576060836967,61.27688960356241,2.54509989505392,4.5508938340339,95.95614987219943,231.27609788159359,96.09408726396218,0.0,133.87566084443787,41.06357747684934
porfiry,0.693973499057258,25.388511917669092,41.39998398960345,21.58646053299976,56.18420987639226,123.45374284093842,52.59909233030396,133.87566084443787,0.0,88.54648010598298
avdotya romanovna,8.32298525983081,48.438840648277285,6.452080983846418,8.331787757731977,63.256540306403075,144.47092991957896,70.39185786697519,41.06357747684934,88.54648010598298,0.0
