,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,3.9628307513019703,0.8147624611705356,2.3784890242191037,3.101756973377044,5.789638909673597,7.8279379058669205,1.117289271203218,13.809368522042625,21.620902263043025
pascal,3.9628307513019703,0.0,2.0401396355820176,3.9683883538583413,1.6687348018130554,3.9703976560477736,6.329927718682881,1.8911636590105845,9.876625090774386,10.03455364810409
martine,0.8147624611705356,2.0401396355820176,0.0,9.147945956576653,15.829529739995486,27.85079646649631,38.200447316439394,5.936766680416517,53.26573786115297,60.66068467682468
felicite,2.3784890242191037,3.9683883538583413,9.147945956576653,0.0,149.84003466290991,22.40564126036393,17.920372019245328,4.575193161294493,11.911240265251697,68.91472314650545
ramond,3.101756973377044,1.6687348018130554,15.829529739995486,149.84003466290991,0.0,171.92888235283522,224.9721010024888,108.52601705719245,266.855699966907,189.46942656649566
maxime,5.789638909673597,3.9703976560477736,27.85079646649631,22.40564126036393,171.92888235283522,0.0,46.015018696015886,80.89703830831398,71.64577690570542,243.13176451041684
charles,7.8279379058669205,6.329927718682881,38.200447316439394,17.920372019245328,224.9721010024888,46.015018696015886,0.0,105.31349535360027,4.317171789009063,22.89939194906019
rougon,1.117289271203218,1.8911636590105845,5.936766680416517,4.575193161294493,108.52601705719245,80.89703830831398,105.31349535360027,0.0,206.84946387819235,239.94826841388678
macquart,13.809368522042625,9.876625090774386,53.26573786115297,11.911240265251697,266.855699966907,71.64577690570542,4.317171789009063,206.84946387819235,0.0,288.93134363685823
uncle macquart,21.620902263043025,10.03455364810409,60.66068467682468,68.91472314650545,189.46942656649566,243.13176451041684,22.89939194906019,239.94826841388678,288.93134363685823,0.0
