,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,2.192575553206356,1.5640114210639766,2.67736547717805,0.6375779673710436,0.7301438007983748,3.211728377001625,0.7430980524941573,1.3425221120403321,1.8934603758442634
harriet,2.192575553206356,0.0,26.832026499061524,21.94732332078285,11.71934049359947,10.198935028179262,20.407649395777756,11.010498384194642,26.859226472624307,32.9537503638861
weston,1.5640114210639766,26.832026499061524,0.0,27.402272588634716,14.864833257111362,5.689111363426358,12.194591070238799,3.8058825284790023,7.383829469638087,15.225145926879554
elton,2.67736547717805,21.94732332078285,27.402272588634716,0.0,30.070307768373738,8.225468171525442,13.244248548876003,22.795844173393995,19.412809773530235,26.37043056228699
knightley,0.6375779673710436,11.71934049359947,14.864833257111362,30.070307768373738,0.0,27.268900477807325,18.78580920779845,8.926102842799564,10.823215227743777,11.299514504585682
woodhouse,0.7301438007983748,10.198935028179262,5.689111363426358,8.225468171525442,27.268900477807325,0.0,26.904103034983404,19.993738612590054,12.780053019890211,18.865709350288988
jane,3.211728377001625,20.407649395777756,12.194591070238799,13.244248548876003,18.78580920779845,26.904103034983404,0.0,33.04912878643989,35.51050086342288,45.36568247352049
frank churchill,0.7430980524941573,11.010498384194642,3.8058825284790023,22.795844173393995,8.926102842799564,19.993738612590054,33.04912878643989,0.0,92.87395291676505,45.50837358883147
bates,1.3425221120403321,26.859226472624307,7.383829469638087,19.412809773530235,10.823215227743777,12.780053019890211,35.51050086342288,92.87395291676505,0.0,26.342992708634853
jane fairfax,1.8934603758442634,32.9537503638861,15.225145926879554,26.37043056228699,11.299514504585682,18.865709350288988,45.36568247352049,45.50837358883147,26.342992708634853,0.0
