,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,2.1050440280526717,2.0557570290744525,0.8427707938281142,1.3841665823310523,0.7864860644365238,4.993411213513924,2.5393338198135855,2.272004909218519,4.9814654944983765
lazare,2.1050440280526717,0.0,3.2987965706404667,2.7375382389116414,2.188065605283889,1.6156741684705753,2.414876035419806,3.163567515715469,2.7468321679778356,3.281892502826029
chanteau,2.0557570290744525,3.2987965706404667,0.0,75.46677270306125,4.810148711572707,3.9961746160689184,12.930287435909973,5.279165415449151,4.481002655726956,8.179538112740191
louise,0.8427707938281142,2.7375382389116414,75.46677270306125,0.0,44.8281363969989,101.85906369763921,111.30234884887919,75.39101513058387,47.73077712825378,158.03513282134182
véronique,1.3841665823310523,2.188065605283889,4.810148711572707,44.8281363969989,0.0,111.83642680388269,22.135484046053055,18.796328672690013,21.74541597779586,30.240964860146043
madame chanteau,0.7864860644365238,1.6156741684705753,3.9961746160689184,101.85906369763921,111.83642680388269,0.0,61.82906559276182,93.14126953977369,159.8177056836584,207.96213309736888
matthew,4.993411213513924,2.414876035419806,12.930287435909973,111.30234884887919,22.135484046053055,61.82906559276182,0.0,72.25858152113902,216.05830565201893,135.7890213137326
minouche,2.5393338198135855,3.163567515715469,5.279165415449151,75.39101513058387,18.796328672690013,93.14126953977369,72.25858152113902,0.0,113.32005984837737,207.49401044626396
cazenove,2.272004909218519,2.7468321679778356,4.481002655726956,47.73077712825378,21.74541597779586,159.8177056836584,216.05830565201893,113.32005984837737,0.0,237.43877268923265
abbé horteur,4.9814654944983765,3.281892502826029,8.179538112740191,158.03513282134182,30.240964860146043,207.96213309736888,135.7890213137326,207.49401044626396,237.43877268923265,0.0
