,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,6.324353636855555,0.9169030567323262,5.89036815023935,83.25256860986768,8.197510871466793,13.813559663576592,2.861533871998703,15.175680718967344,8.044991222729628
tom,6.324353636855555,0.0,95.92737275266207,2.0238589654924115,228.3296273397851,23.3312486371684,50.727464522677,119.43480039071132,10.059727476085028,31.368897916165132
huck,0.9169030567323262,95.92737275266207,0.0,411.56233492769354,302.8673197410475,132.11703140709918,232.9281400240256,24.31269172733686,231.12904929365058,49.12831394370349
sally,5.89036815023935,2.0238589654924115,411.56233492769354,0.0,351.5066260387203,477.8280459233136,1256.6567207236376,854.3128362728661,38.42006960704224,541.4477938428
mary jane,83.25256860986768,228.3296273397851,302.8673197410475,351.5066260387203,0.0,425.8838294829508,972.9242805956575,728.6020692470751,729.4658349873648,842.9997671146401
tom sawyer,8.197510871466793,23.3312486371684,132.11703140709918,477.8280459233136,425.8838294829508,0.0,27.997919007931216,230.17272592024057,163.043434618795,25.682356174508463
watson,13.813559663576592,50.727464522677,232.9281400240256,1256.6567207236376,972.9242805956575,27.997919007931216,0.0,394.1166574100765,1447.8247153358382,496.30663795262217
dey,2.861533871998703,119.43480039071132,24.31269172733686,854.3128362728661,728.6020692470751,230.17272592024057,394.1166574100765,0.0,1069.2909869175003,312.15733932039325
sid,15.175680718967344,10.059727476085028,231.12904929365058,38.42006960704224,729.4658349873648,163.043434618795,1447.8247153358382,1069.2909869175003,0.0,775.4545285134969
huck finn,8.044991222729628,31.368897916165132,49.12831394370349,541.4477938428,842.9997671146401,25.682356174508463,496.30663795262217,312.15733932039325,775.4545285134969,0.0
