,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,2.9290796718399683,0.6501254109897621,0.4405846752168705,0.4542638341999035,1.007964820668181,1.7299017707034803,1.8202600361524066,1.1213781390438977,5.070068973200404
laurent,2.9290796718399683,0.0,2.1839520300985145,0.9803379356880332,3.6391061906339317,1.329880719826538,1.9234425766159957,2.2088330125049733,2.7322132663881207,3.1401478361500983
camille,0.6501254109897621,2.1839520300985145,0.0,2.121777479079818,1.3730190107186484,4.59182516672448,5.205430619425619,5.227362194231702,7.993566712213303,2.2715512654808028
madame raquin,0.4405846752168705,0.9803379356880332,2.121777479079818,0.0,12.688759383161338,14.482488274465275,6.978161354236361,7.870837812657841,5.735264253999614,58.893428955147854
raquin,0.4542638341999035,3.6391061906339317,1.3730190107186484,12.688759383161338,0.0,61.46263283587915,13.995496707071851,26.818830793676213,29.9994559207893,33.42296745018381
michaud,1.007964820668181,1.329880719826538,4.59182516672448,14.482488274465275,61.46263283587915,0.0,46.52763890607625,7.021862196605964,13.365687416269534,117.62905122933722
grivet,1.7299017707034803,1.9234425766159957,5.205430619425619,6.978161354236361,13.995496707071851,46.52763890607625,0.0,25.72796746614395,35.38031855021793,101.66230141710697
olivier,1.8202600361524066,2.2088330125049733,5.227362194231702,7.870837812657841,26.818830793676213,7.021862196605964,25.72796746614395,0.0,17.131879807694535,102.71824999387107
suzanne,1.1213781390438977,2.7322132663881207,7.993566712213303,5.735264253999614,29.9994559207893,13.365687416269534,35.38031855021793,17.131879807694535,0.0,98.98099314473033
francois,5.070068973200404,3.1401478361500983,2.2715512654808028,58.893428955147854,33.42296745018381,117.62905122933722,101.66230141710697,102.71824999387107,98.98099314473033,0.0
