,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,65.56522456102074,12.399528188028267,17.137724548313052,86.0896794943198,61.88430226365183,74.2891926498667,54.76316445279773,30.710630681195266,204.09449137864115
pross,65.56522456102074,0.0,324.312924474414,170.2536298466686,112.12254893191408,362.7957639919252,476.4230844174347,478.4872476801822,155.96663897378255,169.83187467959078
manette,12.399528188028267,324.312924474414,0.0,280.07034594511924,318.0264410299136,174.9991523713814,191.64497483439894,171.8626671391875,119.67822553526833,385.29728062300984
lucie,17.137724548313052,170.2536298466686,280.07034594511924,0.0,344.07538555268195,221.86408875517708,614.2974802175313,729.9900801456826,183.78272774988926,443.5831537164661
cruncher,86.0896794943198,112.12254893191408,318.0264410299136,344.07538555268195,0.0,340.6122435598053,649.2640607744928,656.5697939406919,357.5302528541538,194.30771550743492
defarge,61.88430226365183,362.7957639919252,174.9991523713814,221.86408875517708,340.6122435598053,0.0,603.8809028583955,576.8592871477448,308.63098686131406,353.5874356796055
stryver,74.2891926498667,476.4230844174347,191.64497483439894,614.2974802175313,649.2640607744928,603.8809028583955,0.0,449.1520283994164,434.89918633280973,1791.820105908728
jerry,54.76316445279773,478.4872476801822,171.8626671391875,729.9900801456826,656.5697939406919,576.8592871477448,449.1520283994164,0.0,538.512462767636,1421.8852002124977
darnay,30.710630681195266,155.96663897378255,119.67822553526833,183.78272774988926,357.5302528541538,308.63098686131406,434.89918633280973,538.512462767636,0.0,782.1372015735385
madame defarge,204.09449137864115,169.83187467959078,385.29728062300984,443.5831537164661,194.30771550743492,353.5874356796055,1791.820105908728,1421.8852002124977,782.1372015735385,0.0
