,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,1.6803031455204818,15.083755655639074,5.08832156398544,14.929001973795545,28.986214648033265,19.177883746982932,16.221911713246175,4.066015980359877,5.381749697934441
marianne,1.6803031455204818,0.0,81.42261929963533,35.54396810618612,75.07410110142324,71.68630048145842,36.32176139968321,37.30635951878268,49.41739146275595,34.27167488190463
constance,15.083755655639074,81.42261929963533,0.0,165.25928983364858,196.7493005395283,32.44544580057806,30.75445700358645,79.98517057973721,198.31569046840696,125.51468401569832
beauchene,5.08832156398544,35.54396810618612,165.25928983364858,0.0,240.0416433241366,391.09872671063886,394.86878128766637,778.5005894427388,91.858145554578,597.690881663981
norine,14.929001973795545,75.07410110142324,196.7493005395283,240.0416433241366,0.0,293.73740925801815,293.6678769085688,503.1509890551302,253.50226966834316,348.18991640077655
morange,28.986214648033265,71.68630048145842,32.44544580057806,391.09872671063886,293.73740925801815,0.0,261.8179299942631,132.88756170542476,320.29030434023144,188.62853209829535
blaise,19.177883746982932,36.32176139968321,30.75445700358645,394.86878128766637,293.6678769085688,261.8179299942631,0.0,300.5929068666094,752.8996565652321,204.03718042193663
denis,16.221911713246175,37.30635951878268,79.98517057973721,778.5005894427388,503.1509890551302,132.88756170542476,300.5929068666094,0.0,1268.6234269231168,79.6184863991017
seguin,4.066015980359877,49.41739146275595,198.31569046840696,91.858145554578,253.50226966834316,320.29030434023144,752.8996565652321,1268.6234269231168,0.0,1297.2195286821986
ambroise,5.381749697934441,34.27167488190463,125.51468401569832,597.690881663981,348.18991640077655,188.62853209829535,204.03718042193663,79.6184863991017,1297.2195286821986,0.0
