,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,8.915417600010535,2.786544711514838,17.818306013634935,10.5493580753189,22.432482578185628,4.268044601066635,1.2111799340827205,16.003463088558963,36.542388411043305
auguste,8.915417600010535,0.0,184.26691030423984,30.59842282103187,138.13332729219064,50.090779088534745,187.15614731445888,171.57822052206006,33.6147822356343,160.8714501633828
madame josserand,2.786544711514838,184.26691030423984,0.0,62.954545512869664,39.260709612171155,46.54757838785555,6.76680177921027,3.861790051741339,69.10735874919443,79.48282819938825
duveyrier,17.818306013634935,30.59842282103187,62.954545512869664,0.0,219.4209819622348,72.69064227957477,240.7980665782872,223.94413560101373,42.23577621904449,181.84157805881304
trublot,10.5493580753189,138.13332729219064,39.260709612171155,219.4209819622348,0.0,105.22017433882822,71.79177700290063,82.85020387019351,161.4660207562926,73.84548284843889
bachelard,22.432482578185628,50.090779088534745,46.54757838785555,72.69064227957477,105.22017433882822,0.0,201.26145270417294,149.39092215138675,152.4659686669076,145.3280956050959
monsieur josserand,4.268044601066635,187.15614731445888,6.76680177921027,240.7980665782872,71.79177700290063,201.26145270417294,0.0,30.548511668135056,311.63382106226874,127.58208740363989
hortense,1.2111799340827205,171.57822052206006,3.861790051741339,223.94413560101373,82.85020387019351,149.39092215138675,30.548511668135056,0.0,453.908628384114,190.11843492106593
clotilde,16.003463088558963,33.6147822356343,69.10735874919443,42.23577621904449,161.4660207562926,152.4659686669076,311.63382106226874,453.908628384114,0.0,475.73562254536273
marie,36.542388411043305,160.8714501633828,79.48282819938825,181.84157805881304,73.84548284843889,145.3280956050959,127.58208740363989,190.11843492106593,475.73562254536273,0.0
