,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,7.565135255244316,1.0621715400719103,12.3803729544604,8.744025552038384,32.3829591289546,11.679602253577917,14.758938962570602,26.641321951979933,4.644602596936353
bob,7.565135255244316,0.0,329.0068477584716,2.3250777555806907,1.964428716712522,76.99365150025864,5.01253712814788,240.3844297854051,7.500164855592034,3.467076045579599
marley,1.0621715400719103,329.0068477584716,0.0,343.33188184708433,421.48108341021725,571.293036170674,526.631470945657,254.23904662480058,511.72947836376824,626.4513898917298
cratchit,12.3803729544604,2.3250777555806907,343.33188184708433,0.0,15.986293581500174,148.13735101780256,34.45996133091382,244.15330015410322,7.494784179969954,19.50316502452757
tiny tim,8.744025552038384,1.964428716712522,421.48108341021725,15.986293581500174,0.0,158.9381811822062,42.2549363767027,262.9740799108074,12.34704103144854,7.57691158728544
joe,32.3829591289546,76.99365150025864,571.293036170674,148.13735101780256,158.9381811822062,0.0,116.27200530144187,565.1165009663022,375.83937258423623,271.6595818443715
peter,11.679602253577917,5.01253712814788,526.631470945657,34.45996133091382,42.2549363767027,116.27200530144187,0.0,428.7715744533144,146.56344618466406,43.90627465805891
fezziwig,14.758938962570602,240.3844297854051,254.23904662480058,244.15330015410322,262.9740799108074,565.1165009663022,428.7715744533144,0.0,281.0998568844675,499.58596583769287
martha,26.641321951979933,7.500164855592034,511.72947836376824,7.494784179969954,12.34704103144854,375.83937258423623,146.56344618466406,281.0998568844675,0.0,176.567670031613
bob cratchit,4.644602596936353,3.467076045579599,626.4513898917298,19.50316502452757,7.57691158728544,271.6595818443715,43.90627465805891,499.58596583769287,176.567670031613,0.0
