,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,0.7123954166553725,0.521586280041948,0.3349214325132698,2.172907274502104,1.1409622174530276,0.516894930027937,1.5017181554135648,1.5976005461573861,2.0995891661964823
simon,0.7123954166553725,0.0,13.264262713966755,13.719721784853956,4.646656745002616,2.1059188218675016,5.037076653500933,3.4327640908607817,1.475257955996853,4.17455337901989
louise,0.521586280041948,13.264262713966755,0.0,34.89329655757636,31.16060896116573,54.36503697905269,56.1429182301932,43.50762677111721,48.28085854274434,89.12717066731818
geneviève,0.3349214325132698,13.719721784853956,34.89329655757636,0.0,45.968367798279964,42.8686807123722,23.747198589808985,30.43499471836002,51.16796870290332,43.02126173649871
gorgias,2.172907274502104,4.646656745002616,31.16060896116573,45.968367798279964,0.0,155.12105082507617,136.8277221719717,44.83692306123643,30.48075488872835,178.94142245148566
david,1.1409622174530276,2.1059188218675016,54.36503697905269,42.8686807123722,155.12105082507617,0.0,57.9553088086141,16.737443204073617,40.291952580550884,37.76850176827051
mignot,0.516894930027937,5.037076653500933,56.1429182301932,23.747198589808985,136.8277221719717,57.9553088086141,0.0,69.24642505695623,95.11309217103249,68.80685025506993
crabot,1.5017181554135648,3.4327640908607817,43.50762677111721,30.43499471836002,44.83692306123643,16.737443204073617,69.24642505695623,0.0,70.65671879199733,129.6391702499856
delbos,1.5976005461573861,1.475257955996853,48.28085854274434,51.16796870290332,30.48075488872835,40.291952580550884,95.11309217103249,70.65671879199733,0.0,280.0509014060669
philibin,2.0995891661964823,4.17455337901989,89.12717066731818,43.02126173649871,178.94142245148566,37.76850176827051,68.80685025506993,129.6391702499856,280.0509014060669,0.0
