,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,15.742313224493772,13.769467729135789,3.8095724808284497,24.585846829033855,18.705187058454165,18.99172528375001,18.266708827604646,1.606159923697565,18.958846912351824
sonia,15.742313224493772,0.0,107.71180441055746,141.27727676755705,19.696509154622518,70.1610177416726,57.176500101808585,137.22328945445184,58.37001473675644,110.89203378319533
dounia,13.769467729135789,107.71180441055746,0.0,104.15370939440112,112.74581919249071,74.58638484603057,91.63651859486797,5.6233040016021105,95.26634782205164,14.745194920216528
razumihin,3.8095724808284497,141.27727676755705,104.15370939440112,0.0,136.72077130623532,267.55423077921114,102.05575684174778,10.199556753658403,50.018331368437856,19.373261342021447
katerina ivanovna,24.585846829033855,19.696509154622518,112.74581919249071,136.72077130623532,0.0,188.820706246199,47.3621833388978,216.80448569474063,129.08521196496525,144.98669395427046
svidrigaïlov,18.705187058454165,70.1610177416726,74.58638484603057,267.55423077921114,188.820706246199,0.0,363.8121001147403,523.4237031449366,286.33418581654,329.12875584461466
pyotr petrovitch,18.99172528375001,57.176500101808585,91.63651859486797,102.05575684174778,47.3621833388978,363.8121001147403,0.0,216.30648149435,121.5718422806567,161.4781020063387
pulcheria alexandrovna,18.266708827604646,137.22328945445184,5.6233040016021105,10.199556753658403,216.80448569474063,523.4237031449366,216.30648149435,0.0,306.1390074657398,95.14155149930987
porfiry,1.606159923697565,58.37001473675644,95.26634782205164,50.018331368437856,129.08521196496525,286.33418581654,121.5718422806567,306.1390074657398,0.0,202.79938928864777
avdotya romanovna,18.958846912351824,110.89203378319533,14.745194920216528,19.373261342021447,144.98669395427046,329.12875584461466,161.4781020063387,95.14155149930987,202.79938928864777,0.0
