,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,3.6963294326246334,2.9648372152332265,4.827912552554191,3.061489880562762,8.397712244407247,7.204669178783488,6.522275589417464,1.6460152759777271,9.208222461011474
sparsit,3.6963294326246334,0.0,15.379541685930135,41.78641077757745,11.455449286589845,31.861623061153598,31.67601037874259,24.810830824532964,17.12867345540069,8.711613551094837
louisa,2.9648372152332265,15.379541685930135,0.0,25.221708752529032,13.437013005453029,19.460760741021996,29.738787545521888,5.092149746508778,35.00148867716441,24.411335950597298
gradgrind,4.827912552554191,41.78641077757745,25.221708752529032,0.0,35.12278090701299,27.897028784366277,55.33476208671537,10.317630485122532,77.85118991776928,16.694583201772407
tom,3.061489880562762,11.455449286589845,13.437013005453029,35.12278090701299,0.0,43.68656648716102,24.8120835452565,40.73384161770623,4.4381287168584596,31.363181983802352
rachael,8.397712244407247,31.861623061153598,19.460760741021996,27.897028784366277,43.68656648716102,0.0,54.994229697228356,30.861503653550624,80.2773065750014,88.82929032115433
stephen,7.204669178783488,31.67601037874259,29.738787545521888,55.33476208671537,24.8120835452565,54.994229697228356,0.0,75.62868400571635,48.3541973348643,86.69558188154527
sissy,6.522275589417464,24.810830824532964,5.092149746508778,10.317630485122532,40.73384161770623,30.861503653550624,75.62868400571635,0.0,140.66531950848176,73.50531610024574
harthouse,1.6460152759777271,17.12867345540069,35.00148867716441,77.85118991776928,4.4381287168584596,80.2773065750014,48.3541973348643,140.66531950848176,0.0,125.09012609536059
bitzer,9.208222461011474,8.711613551094837,24.411335950597298,16.694583201772407,31.363181983802352,88.82929032115433,86.69558188154527,73.50531610024574,125.09012609536059,0.0
