,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,94.20132538511928,34.11538058453002,14.62117459934677,28.59726494395882,69.62652177123138,48.759783208117334,17.418421343686163,47.88712530291693,108.86354633937974
tom,94.20132538511928,0.0,68.19660332888984,67.41943866489349,56.270610350927996,83.18042236673979,3.2782536687616517,55.66677105337176,91.42025342529777,190.4506493339184
martin,34.11538058453002,68.19660332888984,0.0,42.849901798745705,4.287147324082567,72.96976444641327,57.327747441586745,27.480985925151952,3.2975820508695373,181.19222032216496
jonas,14.62117459934677,67.41943866489349,42.849901798745705,0.0,85.17447411233843,50.72671253080625,115.08729050319172,83.74319446091822,154.53993456829429,68.06345164498227
mark,28.59726494395882,56.270610350927996,4.287147324082567,85.17447411233843,0.0,198.36511927598883,200.51028179386674,180.12114385179274,25.22787677895841,352.33274309682156
mrs gamp,69.62652177123138,83.18042236673979,72.96976444641327,50.72671253080625,198.36511927598883,0.0,309.6342307445205,258.94341947804094,272.3578631371742,188.75206321011967
john,48.759783208117334,3.2782536687616517,57.327747441586745,115.08729050319172,200.51028179386674,309.6342307445205,0.0,263.2450425021718,231.40801847135938,750.7607019018571
chuzzlewit,17.418421343686163,55.66677105337176,27.480985925151952,83.74319446091822,180.12114385179274,258.94341947804094,263.2450425021718,0.0,262.2687710966188,598.1420533390974
tapley,47.88712530291693,91.42025342529777,3.2975820508695373,154.53993456829429,25.22787677895841,272.3578631371742,231.40801847135938,262.2687710966188,0.0,946.7070886799994
bailey,108.86354633937974,190.4506493339184,181.19222032216496,68.06345164498227,352.33274309682156,188.75206321011967,750.7607019018571,598.1420533390974,946.7070886799994,0.0
