,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,21.65761833419976,29.03555546477554,3.1570226519760007,11.257539339681422,20.36820969503709,25.06938898480158,4.446983441061701,1.8239575838474733,3.5668792480350158
louis,21.65761833419976,0.0,4.922201503827958,28.322447997867616,12.608316047559713,7.532515843233349,1.0335930329300806,14.519270328815281,76.67800806930529,10.488820442357312
crevecoeur,29.03555546477554,4.922201503827958,0.0,171.1080829258638,44.45434136088683,91.15923171736942,14.213055222760357,38.77308319815366,151.35488373357717,94.38387286343203
durward,3.1570226519760007,28.322447997867616,171.1080829258638,0.0,76.29575192840795,72.23118761131651,151.33775802379702,47.43742363055217,40.010850909917124,6.691652811190629
crawford,11.257539339681422,12.608316047559713,44.45434136088683,76.29575192840795,0.0,133.8396339998089,80.06597427853728,93.00950122262942,186.64574831919893,68.84141955767677
oliver,20.36820969503709,7.532515843233349,91.15923171736942,72.23118761131651,133.8396339998089,0.0,232.0991163583648,150.3368767021422,149.16544659983464,112.63048887226795
charles,25.06938898480158,1.0335930329300806,14.213055222760357,151.33775802379702,80.06597427853728,232.0991163583648,0.0,86.85227167139563,206.65050890167598,182.47715280720925
isabelle,4.446983441061701,14.519270328815281,38.77308319815366,47.43742363055217,93.00950122262942,150.3368767021422,86.85227167139563,0.0,136.9880533750636,175.26449533919848
hayraddin,1.8239575838474733,76.67800806930529,151.35488373357717,40.010850909917124,186.64574831919893,149.16544659983464,206.65050890167598,136.9880533750636,0.0,178.9217801263825
quentin durward,3.5668792480350158,10.488820442357312,94.38387286343203,6.691652811190629,68.84141955767677,112.63048887226795,182.47715280720925,175.26449533919848,178.9217801263825,0.0
