,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,19.950975944012644,27.831575717180613,92.4460149043687,60.92035027310437,37.84931568903341,113.7405005996668,106.11532610810333,36.91926376155325,110.99410507476333
bumble,19.950975944012644,0.0,100.040015533951,197.5059367871297,249.72667025493212,146.63141473799828,205.81675345036479,171.84905314970283,184.78252623923152,218.52387238465286
sikes,27.831575717180613,100.040015533951,0.0,100.75011060525381,118.44544111310923,252.45713976559,373.7013319449383,234.9967029989429,8.10671794468096,5.800986940123594
fagin,92.4460149043687,197.5059367871297,100.75011060525381,0.0,118.16834608417838,217.45766927520205,468.73678758908585,119.01414542027472,28.553936769203553,13.308501546084564
brownlow,60.92035027310437,249.72667025493212,118.44544111310923,118.16834608417838,0.0,481.3001886742742,898.2517352856273,292.5939278911246,201.08811355103907,265.642607134835
rose,37.84931568903341,146.63141473799828,252.45713976559,217.45766927520205,481.3001886742742,0.0,376.701387972718,668.8742254737614,678.2169951080202,730.6473855129501
giles,113.7405005996668,205.81675345036479,373.7013319449383,468.73678758908585,898.2517352856273,376.701387972718,0.0,994.0043685935002,720.5421038345232,871.3162679633177
noah,106.11532610810333,171.84905314970283,234.9967029989429,119.01414542027472,292.5939278911246,668.8742254737614,994.0043685935002,0.0,542.496253926402,532.5042848990861
nancy,36.91926376155325,184.78252623923152,8.10671794468096,28.553936769203553,201.08811355103907,678.2169951080202,720.5421038345232,542.496253926402,0.0,100.0113583271734
bill,110.99410507476333,218.52387238465286,5.800986940123594,13.308501546084564,265.642607134835,730.6473855129501,871.3162679633177,532.5042848990861,100.0113583271734,0.0
