,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,255.1282274193153,86.3043515064307,26.298935124529113,132.03625246102297,10.99240485287976,137.03703631268002,193.65731129396204,213.92620457250501,31.44441312892108
rebecca,255.1282274193153,0.0,101.23201153346758,206.99914137290136,151.76362622969893,251.23979727333014,565.3909177663392,449.95372436259873,140.059019553301,284.60895453509374
de bracy,86.3043515064307,101.23201153346758,0.0,281.4015638865352,156.52369249997162,277.61526692065263,569.271866658539,406.8592825822968,615.6958287345152,366.6092582979014
rowena,26.298935124529113,206.99914137290136,281.4015638865352,0.0,210.51205429997452,72.39070068326342,262.0623698604345,262.88610240325727,434.68992260424733,137.53275359802714
isaac,132.03625246102297,151.76362622969893,156.52369249997162,210.51205429997452,0.0,281.0423690924305,458.18807072900614,306.8539084458306,568.7327839919016,256.1214422783345
saxon,10.99240485287976,251.23979727333014,277.61526692065263,72.39070068326342,281.0423690924305,0.0,267.17080405761277,352.44254619665224,596.918536263602,116.08539750736186
gurth,137.03703631268002,565.3909177663392,569.271866658539,262.0623698604345,458.18807072900614,267.17080405761277,0.0,195.42050058458025,1285.4354018681152,511.3617040357492
john,193.65731129396204,449.95372436259873,406.8592825822968,262.88610240325727,306.8539084458306,352.44254619665224,195.42050058458025,0.0,1170.7525871729454,551.5291945385223
richard,213.92620457250501,140.059019553301,615.6958287345152,434.68992260424733,568.7327839919016,596.918536263602,1285.4354018681152,1170.7525871729454,0.0,877.8396358533412
wamba,31.44441312892108,284.60895453509374,366.6092582979014,137.53275359802714,256.1214422783345,116.08539750736186,511.3617040357492,551.5291945385223,877.8396358533412,0.0
