,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,6.315317073738744,5.499439177251167,5.786133988932803,3.8468020339678253,3.9049369209503864,4.829574681974253,8.168606003717494,24.918254816342774,1.4657908496129834
sam,6.315317073738744,0.0,9.959931490444493,56.538433193180396,301.77260174405666,94.80412237048951,269.6110188889836,44.050200002529856,3.5925896506027,37.583091750481834
weller,5.499439177251167,9.959931490444493,0.0,98.62796774231917,379.8485141192936,168.9016842302954,382.9721385239678,82.01351073899549,0.7225078720867755,64.14776979981822
winkle,5.786133988932803,56.538433193180396,98.62796774231917,0.0,67.64538170557623,79.57657122002497,12.049786747146259,94.2341565489437,146.9590864734975,140.63153720070906
tupman,3.8468020339678253,301.77260174405666,379.8485141192936,67.64538170557623,0.0,517.114234380846,91.37736706692576,1699.3131043399808,1555.9753143526268,1669.006433183132
wardle,3.9049369209503864,94.80412237048951,168.9016842302954,79.57657122002497,517.114234380846,0.0,230.4273369511618,868.1917998431726,561.23973319867,521.7329308991793
snodgrass,4.829574681974253,269.6110188889836,382.9721385239678,12.049786747146259,91.37736706692576,230.4273369511618,0.0,1654.3250882930513,1401.865057491499,1534.851840819177
bob sawyer,8.168606003717494,44.050200002529856,82.01351073899549,94.2341565489437,1699.3131043399808,868.1917998431726,1654.3250882930513,0.0,336.2531159406954,229.84257126611078
sammy,24.918254816342774,3.5925896506027,0.7225078720867755,146.9590864734975,1555.9753143526268,561.23973319867,1401.865057491499,336.2531159406954,0.0,294.7733746904913
perker,1.4657908496129834,37.583091750481834,64.14776979981822,140.63153720070906,1669.006433183132,521.7329308991793,1534.851840819177,229.84257126611078,294.7733746904913,0.0
