,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,7.634746410389217,12.504533174824536,7.181006631771127,17.61029772275129,2.6956310553091716,7.303524583085696,9.63690033966632,4.0782658183509,6.347773540806809
edmund,7.634746410389217,0.0,19.03678451383727,7.588143119192317,14.498873951827916,3.1496304739000744,5.010531755346523,21.09827861992805,4.702908075572234,4.4961475356095075
thomas,12.504533174824536,19.03678451383727,0.0,55.69740298474711,23.964201410302973,17.722307999073077,32.750070369782584,17.668658762024,57.13724824869912,41.145522366810724
rushworth,7.181006631771127,7.588143119192317,55.69740298474711,0.0,59.84711176833736,93.49659506443793,38.556560348176056,179.81337056928996,10.367285735214985,29.82068088655688
norris,17.61029772275129,14.498873951827916,23.964201410302973,59.84711176833736,0.0,119.33790257594542,37.58389397759699,137.90809840075323,64.08813952052051,20.014036626583387
fanny,2.6956310553091716,3.1496304739000744,17.722307999073077,93.49659506443793,119.33790257594542,0.0,191.77184591029095,81.25415303997903,125.5381663462603,163.99164499375715
grant,7.303524583085696,5.010531755346523,32.750070369782584,38.556560348176056,37.58389397759699,191.77184591029095,0.0,265.5994802445259,99.23372363442897,46.362219475058
william,9.63690033966632,21.09827861992805,17.668658762024,179.81337056928996,137.90809840075323,81.25415303997903,265.5994802445259,0.0,266.8607065615816,294.5222216672701
julia,4.0782658183509,4.702908075572234,57.13724824869912,10.367285735214985,64.08813952052051,125.5381663462603,99.23372363442897,266.8607065615816,0.0,84.34348866977572
bertram,6.347773540806809,4.4961475356095075,41.145522366810724,29.82068088655688,20.014036626583387,163.99164499375715,46.362219475058,294.5222216672701,84.34348866977572,0.0
