,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,1.9196874860622675,1.5352846208292763,4.922987363246747,0.5296529230251147,1.5348357875922278,0.7996015575685472,0.5834294716229478,2.780944391144722,1.0379841103053165
coupeau,1.9196874860622675,0.0,5.065629610398279,8.336743875177891,11.080038252439403,2.0848209719422877,6.676699648349609,1.7798160283600197,2.7218213925720605,10.174019909161178
lantier,1.5352846208292763,5.065629610398279,0.0,61.44839238841248,34.77025697833044,82.14195068980631,70.99307985444749,55.397950004053065,36.95062220301782,102.31678374302432
nana,4.922987363246747,8.336743875177891,61.44839238841248,0.0,104.46855982813615,159.16513961924326,73.38104492027091,27.0180587980859,15.694174646318672,287.79562942502184
virginie,0.5296529230251147,11.080038252439403,34.77025697833044,104.46855982813615,0.0,46.25954261738258,33.809933338277744,48.30146394399909,32.2441140372729,42.779053562790956
boche,1.5348357875922278,2.0848209719422877,82.14195068980631,159.16513961924326,46.25954261738258,0.0,78.09274042868459,207.74791683237052,91.88596551763247,50.30361349758638
goujet,0.7996015575685472,6.676699648349609,70.99307985444749,73.38104492027091,33.809933338277744,78.09274042868459,0.0,173.38141909795488,120.02376137712342,197.94882465528335
mon dieu,0.5834294716229478,1.7798160283600197,55.397950004053065,27.0180587980859,48.30146394399909,207.74791683237052,173.38141909795488,0.0,114.16335904551627,471.54180981526974
madame lerat,2.780944391144722,2.7218213925720605,36.95062220301782,15.694174646318672,32.2441140372729,91.88596551763247,120.02376137712342,114.16335904551627,0.0,344.18477460421116
madame boche,1.0379841103053165,10.174019909161178,102.31678374302432,287.79562942502184,42.779053562790956,50.30361349758638,197.94882465528335,471.54180981526974,344.18477460421116,0.0
