,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,477.1259807265639,119.47407086213461,503.88790656028544,88.37376452553791,178.67645082978282,491.27722565475773,192.950799754741,569.8318563424805,680.703676737614
mont blanc,477.1259807265639,0.0,7892.615390671081,6373.273761256419,1250.171954972368,1905.6732834527702,5080.271232384271,6705.7844491410415,7213.700330687619,5343.006751997857
neckar,119.47407086213461,7892.615390671081,0.0,1269.7575957862089,6808.042502339584,5824.6388484511845,3681.894597684947,2602.8834243443007,2080.063081254411,4776.4465398187285
conrad,503.88790656028544,6373.273761256419,1269.7575957862089,0.0,5072.229641402123,4047.5571348042595,2330.8674399420784,1380.7173016380443,875.2785729655865,2918.9963713157867
baedeker,88.37376452553791,1250.171954972368,6808.042502339584,5072.229641402123,0.0,1133.3694661576856,3188.506985743668,4089.910412417902,4301.3870097721365,3291.9929897820834
peter,178.67645082978282,1905.6732834527702,5824.6388484511845,4047.5571348042595,1133.3694661576856,0.0,2667.3724619375084,2349.331205121614,3165.457505511364,2426.8972883042047
riley,491.27722565475773,5080.271232384271,3681.894597684947,2330.8674399420784,3188.506985743668,2667.3724619375084,0.0,1162.9911490700738,1668.456757574385,3359.0565891433866
nicodemus,192.950799754741,6705.7844491410415,2602.8834243443007,1380.7173016380443,4089.910412417902,2349.331205121614,1162.9911490700738,0.0,505.3748459737964,2215.0446479179286
huss,569.8318563424805,7213.700330687619,2080.063081254411,875.2785729655865,4301.3870097721365,3165.457505511364,1668.456757574385,505.3748459737964,0.0,1133.8636087804427
gretchen,680.703676737614,5343.006751997857,4776.4465398187285,2918.9963713157867,3291.9929897820834,2426.8972883042047,3359.0565891433866,2215.0446479179286,1133.8636087804427,0.0
