,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,36.28895319233313,13.722665668118855,7.7307706278077735,10.291632651381871,18.687401287950895,16.324045412588514,7.44972914711858,14.890929504540907,9.002377301022564
dorrit,36.28895319233313,0.0,68.81969985819508,53.66640082366253,140.71949068234449,23.168162456035535,32.101718471855335,90.87703629737918,69.2028844011898,174.74004804061482
arthur,13.722665668118855,68.81969985819508,0.0,38.39115529701823,39.20969576287663,27.103114045399785,31.01041277829234,16.010211250319763,18.162719430376665,29.01031522996197
pancks,7.7307706278077735,53.66640082366253,38.39115529701823,0.0,62.397348431433066,29.171574124989103,41.353274353389565,37.389093094235896,37.283378840519745,47.567854108008426
meagles,10.291632651381871,140.71949068234449,39.20969576287663,62.397348431433066,0.0,125.60205631059685,67.13414730745029,25.969721196638748,47.21700990096638,31.370059249285628
merdle,18.687401287950895,23.168162456035535,27.103114045399785,29.171574124989103,125.60205631059685,0.0,92.36066215385873,155.54654423932942,94.19053701795278,263.6245976718074
amy,16.324045412588514,32.101718471855335,31.01041277829234,41.353274353389565,67.13414730745029,92.36066215385873,0.0,62.07419405480549,80.98486641280576,95.50924043674021
little dorrit,7.44972914711858,90.87703629737918,16.010211250319763,37.389093094235896,25.969721196638748,155.54654423932942,62.07419405480549,0.0,77.53967268809635,16.29104984079496
flintwinch,14.890929504540907,69.2028844011898,18.162719430376665,37.283378840519745,47.21700990096638,94.19053701795278,80.98486641280576,77.53967268809635,0.0,127.59385795398181
maggy,9.002377301022564,174.74004804061482,29.01031522996197,47.567854108008426,31.370059249285628,263.6245976718074,95.50924043674021,16.29104984079496,127.59385795398181,0.0
