,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,1.1568186464649477,1.2225879119187106,0.4202078375810467,0.7646490812910239,0.42157422660912364,2.3112257067165674,1.17494758909888,1.0132269023106366,2.131256240771339
lazare,1.1568186464649477,0.0,1.9266318659970885,1.37897358119953,1.1874774215361477,0.8439402638045296,1.1641002258302982,1.4610317358136098,1.2018021973995865,1.4171209875429054
chanteau,1.2225879119187106,1.9266318659970885,0.0,39.07116235811732,2.3938694697235325,2.0302366536506318,5.854692748138814,2.4233125287305195,1.9274698578551492,3.381875565853683
louise,0.4202078375810467,1.37897358119953,39.07116235811732,0.0,23.0526031036766,51.69695698266217,52.83256090990392,35.66759418784222,21.000096562413535,65.88726215165545
véronique,0.7646490812910239,1.1874774215361477,2.3938694697235325,23.0526031036766,0.0,54.86101320596421,10.252139118125868,8.616277605411689,9.353257355608374,12.592362223021162
madame chanteau,0.42157422660912364,0.8439402638045296,2.0302366536506318,51.69695698266217,54.86101320596421,0.0,27.48569922062708,39.52970665199571,65.48032462376642,84.78076877770235
matthew,2.3112257067165674,1.1641002258302982,5.854692748138814,52.83256090990392,10.252139118125868,27.48569922062708,0.0,31.433802900033385,90.00596274006115,55.36280218313592
minouche,1.17494758909888,1.4610317358136098,2.4233125287305195,35.66759418784222,8.616277605411689,39.52970665199571,31.433802900033385,0.0,48.8896698495046,85.85260533032509
cazenove,1.0132269023106366,1.2018021973995865,1.9274698578551492,21.000096562413535,9.353257355608374,65.48032462376642,90.00596274006115,48.8896698495046,0.0,98.4623945891683
abbé horteur,2.131256240771339,1.4171209875429054,3.381875565853683,65.88726215165545,12.592362223021162,84.78076877770235,55.36280218313592,85.85260533032509,98.4623945891683,0.0
