,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,22.333612268419884,31.823938354254796,84.01390126463976,122.07421082467792,160.41139209942946,133.6949288471522,92.08091881767685,39.598476630481905,432.0079021142038
astley,22.333612268419884,0.0,116.91364835331315,196.42808925536676,374.60742420465994,148.75306300536306,311.4634229595319,228.73406281217515,97.11672690946183,964.8382406373381
de griers,31.823938354254796,116.91364835331315,0.0,41.951613194166505,93.15679244573532,350.7834444474047,32.854609016417285,1499.0349796734135,1501.4897506303425,562.095595089119
alexis ivanovitch,84.01390126463976,196.42808925536676,41.951613194166505,0.0,170.0828496059812,1535.1280498927008,54.19108525534627,2418.5103826096183,3153.7246178754604,1795.4596152508698
potapitch,122.07421082467792,374.60742420465994,93.15679244573532,170.0828496059812,0.0,1594.9195894476875,83.77156605070435,3587.744424629791,4500.4248047058945,3455.788743275494
blanche,160.41139209942946,148.75306300536306,350.7834444474047,1535.1280498927008,1594.9195894476875,0.0,2816.740210476572,2789.5081039015386,3586.1546334791115,4204.319958350423
martha,133.6949288471522,311.4634229595319,32.854609016417285,54.19108525534627,83.77156605070435,2816.740210476572,0.0,4244.9113142147735,5453.895433438491,4457.108067033719
polina alexandrovna,92.08091881767685,228.73406281217515,1499.0349796734135,2418.5103826096183,3587.744424629791,2789.5081039015386,4244.9113142147735,0.0,1078.3817075488532,2569.661333364268
marquis,39.598476630481905,97.11672690946183,1501.4897506303425,3153.7246178754604,4500.4248047058945,3586.1546334791115,5453.895433438491,1078.3817075488532,0.0,1474.5482367333561
baroness,432.0079021142038,964.8382406373381,562.095595089119,1795.4596152508698,3455.788743275494,4204.319958350423,4457.108067033719,2569.661333364268,1474.5482367333561,0.0
