,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,1.2192412243703263,0.844301543065021,1.412859522148618,0.33057176821023887,0.3844438820630436,1.5415884957802704,0.3484985739963507,0.6401424434631156,0.8696624191788401
harriet,1.2192412243703263,0.0,14.555629303910257,11.2664858534518,6.000840770789441,5.272398893603322,9.734754186787745,5.178898107330584,12.663699048467628,15.032088461458642
weston,0.844301543065021,14.555629303910257,0.0,14.475310927001667,7.578068496471267,2.985071904894934,5.86301523015137,1.7473255409326858,3.5056086873549757,7.011639005697134
elton,1.412859522148618,11.2664858534518,14.475310927001667,0.0,15.286865881611394,4.29493924212,6.330065137132751,10.541091496439906,9.20825194110133,12.041620010899717
knightley,0.33057176821023887,6.000840770789441,7.578068496471267,15.286865881611394,0.0,13.899157302895832,8.961582420889302,4.1518740469349105,5.1241838037957725,5.172913440484772
woodhouse,0.3844438820630436,5.272398893603322,2.985071904894934,4.29493924212,13.899157302895832,0.0,12.771231615929661,9.133089757066525,5.968328488998052,8.578941846951787
jane,1.5415884957802704,9.734754186787745,5.86301523015137,6.330065137132751,8.961582420889302,12.771231615929661,0.0,15.469444383889316,17.0746676788658,20.701259262543118
frank churchill,0.3484985739963507,5.178898107330584,1.7473255409326858,10.541091496439906,4.1518740469349105,9.133089757066525,15.469444383889316,0.0,43.678505124088296,20.862522728822913
bates,0.6401424434631156,12.663699048467628,3.5056086873549757,9.20825194110133,5.1241838037957725,5.968328488998052,17.0746676788658,43.678505124088296,0.0,11.889195659959794
jane fairfax,0.8696624191788401,15.032088461458642,7.011639005697134,12.041620010899717,5.172913440484772,8.578941846951787,20.701259262543118,20.862522728822913,11.889195659959794,0.0
