,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,109.05861843299895,63.88166921582165,70.88591155298943,22.475146295557355,19.135452397802194,8.929170801181188,70.66752329003488,26.048382198289236,72.13211647660067
grewgious,109.05861843299895,0.0,34.89200203531737,31.598323295492865,30.99178627562161,79.45193793131374,109.6007765061927,33.384499692576625,42.771879909077406,79.53962917145881
crisparkle,63.88166921582165,34.89200203531737,0.0,38.33360712796922,7.055940736702309,51.605265215159434,74.12731857837875,8.319564216565013,47.43725755327526,45.48146121629997
rosa,70.88591155298943,31.598323295492865,38.33360712796922,0.0,78.70369988356222,47.31701383639161,54.62657615658845,19.020752567587948,51.53369346197458,10.36849229411031
neville,22.475146295557355,30.99178627562161,7.055940736702309,78.70369988356222,0.0,65.4002499928293,93.02797127315274,37.76263786720286,68.94817722118195,124.92299500614007
sapsea,19.135452397802194,79.45193793131374,51.605265215159434,47.31701383639161,65.4002499928293,0.0,27.58848578235538,135.3304709928755,114.50562847816282,143.96652215680191
durdles,8.929170801181188,109.6007765061927,74.12731857837875,54.62657615658845,93.02797127315274,27.58848578235538,0.0,221.05706036267128,104.6840000642636,236.99909650298812
helena,70.66752329003488,33.384499692576625,8.319564216565013,19.020752567587948,37.76263786720286,135.3304709928755,221.05706036267128,0.0,265.0002330463233,92.53961692738928
edwin,26.048382198289236,42.771879909077406,47.43725755327526,51.53369346197458,68.94817722118195,114.50562847816282,104.6840000642636,265.0002330463233,0.0,244.300864631341
twinkleton,72.13211647660067,79.53962917145881,45.48146121629997,10.36849229411031,124.92299500614007,143.96652215680191,236.99909650298812,92.53961692738928,244.300864631341,0.0
