,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,5.402487722476995,5.575865559315101,3.6578122070633183,2.093196950726482,2.445415333485646,3.750854768817867,4.7313304966484875,5.114368026703999,4.60263509606994
benedetta,5.402487722476995,0.0,20.690856546301195,116.37379414537355,108.67887032447071,168.73885408146947,148.68346844333848,87.86342374544887,32.65241294367889,178.46817668609802
dario,5.575865559315101,20.690856546301195,0.0,179.09749233043965,189.4509655606976,206.75226856830903,232.12766033286138,193.65752189383267,103.81930949282338,326.9183866427179
nani,3.6578122070633183,116.37379414537355,179.09749233043965,0.0,262.19744467369844,494.04265026942505,396.80501392228155,431.3871214833778,182.0662904952287,191.98810981641697
don vigilio,2.093196950726482,108.67887032447071,189.4509655606976,262.19744467369844,0.0,966.4142702424707,449.23304494184674,298.38843704653203,187.88650717411895,155.8304410173538
narcisse,2.445415333485646,168.73885408146947,206.75226856830903,494.04265026942505,966.4142702424707,0.0,726.8763397248465,1152.848473813623,696.5310158699871,943.0261647666792
leo xiii,3.750854768817867,148.68346844333848,232.12766033286138,396.80501392228155,449.23304494184674,726.8763397248465,0.0,355.0315636830292,424.39733103619886,558.4104264346787
victorine,4.7313304966484875,87.86342374544887,193.65752189383267,431.3871214833778,298.38843704653203,1152.848473813623,355.0315636830292,0.0,486.9825013554643,603.7753725642259
donna serafina,5.114368026703999,32.65241294367889,103.81930949282338,182.0662904952287,187.88650717411895,696.5310158699871,424.39733103619886,486.9825013554643,0.0,438.1380647160888
boccanera,4.60263509606994,178.46817668609802,326.9183866427179,191.98810981641697,155.8304410173538,943.0261647666792,558.4104264346787,603.7753725642259,438.1380647160888,0.0
