,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,12.603077953689528,46.01751848332484,89.25214173159108,27.870287018158855,65.37798596933739,44.15598957212376,50.43975923206043,60.7913845905607,66.04800615394458
glenvarloch,12.603077953689528,0.0,30.679880338479524,63.868228802392196,50.20128200158251,67.73944190271555,26.47915456923911,31.794120100621182,55.23688185012329,45.441626532163404
dalgarno,46.01751848332484,30.679880338479524,0.0,88.99501169075715,117.35394867520432,155.31656230387782,69.99373768296483,111.02181935039617,162.86454069193692,38.797865677403394
richie,89.25214173159108,63.868228802392196,88.99501169075715,0.0,115.28253213268044,342.1334997196023,77.8723180769786,108.86151009493798,132.1422320800874,207.78023530524763
heriot,27.870287018158855,50.20128200158251,117.35394867520432,115.28253213268044,0.0,258.80548817394043,117.19333500515648,26.73475483085324,62.61095779261723,64.10223139088403
margaret,65.37798596933739,67.73944190271555,155.31656230387782,342.1334997196023,258.80548817394043,0.0,218.6007179520128,250.44527788085088,306.0655404066205,278.24470451742894
mungo,44.15598957212376,26.47915456923911,69.99373768296483,77.8723180769786,117.19333500515648,218.6007179520128,0.0,66.35982831827785,119.0777413215784,170.3032460895125
george heriot,50.43975923206043,31.794120100621182,111.02181935039617,108.86151009493798,26.73475483085324,250.44527788085088,66.35982831827785,0.0,77.06200957809102,156.12411032271277
james,60.7913845905607,55.23688185012329,162.86454069193692,132.1422320800874,62.61095779261723,306.0655404066205,119.0777413215784,77.06200957809102,0.0,230.62241354208277
huntinglen,66.04800615394458,45.441626532163404,38.797865677403394,207.78023530524763,64.10223139088403,278.24470451742894,170.3032460895125,156.12411032271277,230.62241354208277,0.0
