,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,1.7546078409412507,1.4436586429134586,1.6920075541247308,1.238773102437386,0.8836146083914423,1.4699663865453838,1.60802929218342,4.829656414674025,0.28346867439987694
sam,1.7546078409412507,0.0,2.673639806948756,16.877909702586244,80.99592422958301,23.28537287646043,71.06857841245527,8.500530023242144,0.7297016545666258,7.134735120147181
weller,1.4436586429134586,2.673639806948756,0.0,28.10449698540686,100.27132668434892,41.19824776884043,98.16512073093057,15.815089700453061,0.14345682746322086,12.467410147549085
winkle,1.6920075541247308,16.877909702586244,28.10449698540686,0.0,18.58019770734587,19.005798778131403,2.967843594780491,18.208248241332548,28.77130892835494,26.761301630886955
tupman,1.238773102437386,80.99592422958301,100.27132668434892,18.58019770734587,0.0,121.84106618252969,21.548652924144264,363.48103146686515,325.71564168330815,344.14412402609037
wardle,0.8836146083914423,23.28537287646043,41.19824776884043,19.005798778131403,121.84106618252969,0.0,60.46102257386715,181.2364282356678,114.3116789713963,104.86314560012792
snodgrass,1.4699663865453838,71.06857841245527,98.16512073093057,2.967843594780491,21.548652924144264,60.46102257386715,0.0,363.8891790374297,304.14586445012117,327.71607404973884
bob sawyer,1.60802929218342,8.500530023242144,15.815089700453061,18.208248241332548,363.48103146686515,181.2364282356678,363.8891790374297,0.0,65.47180881052348,45.2058235362618
sammy,4.829656414674025,0.7297016545666258,0.14345682746322086,28.77130892835494,325.71564168330815,114.3116789713963,304.14586445012117,65.47180881052348,0.0,58.10082304827236
perker,0.28346867439987694,7.134735120147181,12.467410147549085,26.761301630886955,344.14412402609037,104.86314560012792,327.71607404973884,45.2058235362618,58.10082304827236,0.0
