,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,71.66095138743425,62.76122298768396,201.74271091124888,54.10227971739784,82.9624724603125,9.315109715736606,108.96231621111943,73.1466701786305,131.4039648675531
barnaby,71.66095138743425,0.0,104.34893623157045,164.99030553991923,104.71406876036173,157.16700497788028,84.5768102816779,80.45460576771897,138.5632323603996,462.8442009510122
john,62.76122298768396,104.34893623157045,0.0,163.27633928352444,64.30910894915732,151.70948176499903,276.9932546944856,115.99978398882241,127.01091934198108,281.2129871098066
joe,201.74271091124888,164.99030553991923,163.27633928352444,0.0,189.11594359723534,81.41350008825768,517.4064542555963,161.11404524154204,245.99379444549155,140.7738341346683
haredale,54.10227971739784,104.71406876036173,64.30910894915732,189.11594359723534,0.0,122.28411318750032,349.40578945834295,109.50015701635971,130.70577824918655,161.89951592831824
dolly,82.9624724603125,157.16700497788028,151.70948176499903,81.41350008825768,122.28411318750032,0.0,410.4830707733313,105.62394947616684,202.53938305914772,204.34850027778663
dennis,9.315109715736606,84.5768102816779,276.9932546944856,517.4064542555963,349.40578945834295,410.4830707733313,0.0,535.7135911035148,943.291918230146,1369.7486675741832
miggs,108.96231621111943,80.45460576771897,115.99978398882241,161.11404524154204,109.50015701635971,105.62394947616684,535.7135911035148,0.0,269.46794421345027,693.5678258254906
tappertit,73.1466701786305,138.5632323603996,127.01091934198108,245.99379444549155,130.70577824918655,202.53938305914772,943.291918230146,269.46794421345027,0.0,434.9848765879497
chester,131.4039648675531,462.8442009510122,281.2129871098066,140.7738341346683,161.89951592831824,204.34850027778663,1369.7486675741832,693.5678258254906,434.9848765879497,0.0
