,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,46.37266443598199,5.201260141825811,21.770056117868606,72.96395361314096,43.97237699696142,33.94496759470256,61.8376860934307,8.850787330475983,58.36665713906104
edith,46.37266443598199,0.0,217.85260272059054,112.87024642232805,466.5321332855487,85.59141764481167,30.784153567906984,85.09067918457707,170.4021754822191,179.40990879611755
burley,5.201260141825811,217.85260272059054,0.0,184.4894160792369,620.9587209937024,163.12834106090736,142.1183345896955,308.7619827202981,7.592886370968926,415.01197502637353
cuddie,21.770056117868606,112.87024642232805,184.4894160792369,0.0,462.1218156243522,100.54031252633028,106.21544555449661,170.35919738813894,172.11826329877766,69.31948085605427
bothwell,72.96395361314096,466.5321332855487,620.9587209937024,462.1218156243522,0.0,813.8616916315335,950.4255689336222,310.5689758972816,1252.0421071528074,223.6411083407557
jenny,43.97237699696142,85.59141764481167,163.12834106090736,100.54031252633028,813.8616916315335,0.0,91.24594997151368,420.82252860180625,365.067820937667,329.9562917510092
bellenden,33.94496759470256,30.784153567906984,142.1183345896955,106.21544555449661,950.4255689336222,91.24594997151368,0.0,662.8052794834922,222.75429966172462,528.7532029299199
lady margaret,61.8376860934307,85.09067918457707,308.7619827202981,170.35919738813894,310.5689758972816,420.82252860180625,662.8052794834922,0.0,672.1784362376557,245.107305678344
balfour,8.850787330475983,170.4021754822191,7.592886370968926,172.11826329877766,1252.0421071528074,365.067820937667,222.75429966172462,672.1784362376557,0.0,1397.6089233250661
milnwood,58.36665713906104,179.40990879611755,415.01197502637353,69.31948085605427,223.6411083407557,329.9562917510092,528.7532029299199,245.107305678344,1397.6089233250661,0.0
