,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,31.866681887004084,26.376878418489255,7.579447221128858,51.824011215861056,41.85012951270105,40.77750612446657,40.080112294461294,3.6814574769940585,42.78689755136501
sonia,31.866681887004084,0.0,213.67025217513313,283.4200165381156,40.638477191070294,155.9012562162948,121.2832618995921,304.283765632531,132.89536832995333,251.4770498689583
dounia,26.376878418489255,213.67025217513313,0.0,207.2307438212383,239.0543615636882,165.30655574244813,199.73968618714662,12.302618014874756,217.0936933910691,33.38054681850848
razumihin,7.579447221128858,283.4200165381156,207.2307438212383,0.0,284.69903177837193,583.7473020802252,221.5475536108737,22.638268988847386,114.75988093934748,44.63477266088935
katerina ivanovna,51.824011215861056,40.638477191070294,239.0543615636882,284.69903177837193,0.0,416.89561609013464,99.94334846413825,485.15469154492746,293.7127708964556,329.2519867193911
svidrigaïlov,41.85012951270105,155.9012562162948,165.30655574244813,583.7473020802252,416.89561609013464,0.0,795.1199501836514,1173.9206687833198,657.8023298266986,743.2118283029621
pyotr petrovitch,40.77750612446657,121.2832618995921,199.73968618714662,221.5475536108737,99.94334846413825,795.1199501836514,0.0,482.26707216102693,278.24851622909506,366.9957808922575
pulcheria alexandrovna,40.080112294461294,304.283765632531,12.302618014874756,22.638268988847386,485.15469154492746,1173.9206687833198,482.26707216102693,0.0,693.303768671676,218.36777839465154
porfiry,3.6814574769940585,132.89536832995333,217.0936933910691,114.75988093934748,293.7127708964556,657.8023298266986,278.24851622909506,693.303768671676,0.0,460.07454954085813
avdotya romanovna,42.78689755136501,251.4770498689583,33.38054681850848,44.63477266088935,329.2519867193911,743.2118283029621,366.9957808922575,218.36777839465154,460.07454954085813,0.0
