,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,67.73391699657941,1.8039027969385277,155.29855777668953,6.291388526973447,139.49879160532342,595.3050227128037,277.27408854628635,209.57213272207417,318.4126381770207
signor dellombra,67.73391699657941,0.0,100.55523974231103,69.74320243546917,159.5618989490708,29.08120810402456,398.37641482113105,133.02615471828028,10.57872575561124,438.99446466711686
john,1.8039027969385277,100.55523974231103,0.0,187.92682325429115,13.05805497796498,153.9026608350065,608.5422337679722,288.8556929170741,220.08994368142496,393.72762580688953
baptista,155.29855777668953,69.74320243546917,187.92682325429115,0.0,189.78025035747652,18.750989699975502,168.9994927945113,45.80007247781655,33.38627930912589,244.27151160703093
wilhelm,6.291388526973447,159.5618989490708,13.05805497796498,189.78025035747652,0.0,209.27270339616345,661.700544441627,349.9080874613206,275.0743191954112,396.76025079390234
clara,139.49879160532342,29.08120810402456,153.9026608350065,18.750989699975502,209.27270339616345,0.0,446.5029485785778,90.6514904212218,20.699366257285718,466.94039663773395
heinrich,595.3050227128037,398.37641482113105,608.5422337679722,168.9994927945113,661.700544441627,446.5029485785778,0.0,511.38538451625215,636.2905519425162,425.18281844419016
carolina,277.27408854628635,133.02615471828028,288.8556929170741,45.80007247781655,349.9080874613206,90.6514904212218,511.38538451625215,0.0,127.47360588692561,363.9181901042193
dellombra,209.57213272207417,10.57872575561124,220.08994368142496,33.38627930912589,275.0743191954112,20.699366257285718,636.2905519425162,127.47360588692561,0.0,504.811903806624
ananias dodger,318.4126381770207,438.99446466711686,393.72762580688953,244.27151160703093,396.76025079390234,466.94039663773395,425.18281844419016,363.9181901042193,504.811903806624,0.0
