,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,30.84664783791171,6.044227430354831,7.973443796330224,40.12571742179957,28.85294804947333,35.54647611876403,27.62591505889565,14.328230574006987,87.55551760190588
pross,30.84664783791171,0.0,155.89716495158638,78.23976493610617,54.059095580217175,169.15993044209606,223.2816651412867,232.44542814602474,72.52783100334946,76.0169041722671
manette,6.044227430354831,155.89716495158638,0.0,132.6086556563975,147.96609555351668,82.8748272192404,90.64295335931169,85.44737131979667,55.15413402621692,165.5532113125007
lucie,7.973443796330224,78.23976493610617,132.6086556563975,0.0,160.53850398242363,104.49232796646321,287.0807992788626,350.63199726948443,86.25499276435244,193.30814562070262
cruncher,40.12571742179957,54.059095580217175,147.96609555351668,160.53850398242363,0.0,156.55565402505732,302.0113471686937,313.37361377433416,166.64332733556407,85.65580318709196
defarge,28.85294804947333,169.15993044209606,82.8748272192404,104.49232796646321,156.55565402505732,0.0,284.99844498170893,278.18773105262443,145.29602962168363,150.91082157253302
stryver,35.54647611876403,223.2816651412867,90.64295335931169,287.0807992788626,302.0113471686937,284.99844498170893,0.0,219.074206130281,201.05649009071553,785.3879077052181
jerry,27.62591505889565,232.44542814602474,85.44737131979667,350.63199726948443,313.37361377433416,278.18773105262443,219.074206130281,0.0,259.37411756552603,625.3654815980262
darnay,14.328230574006987,72.52783100334946,55.15413402621692,86.25499276435244,166.64332733556407,145.29602962168363,201.05649009071553,259.37411756552603,0.0,339.6399541193043
madame defarge,87.55551760190588,76.0169041722671,165.5532113125007,193.30814562070262,85.65580318709196,150.91082157253302,785.3879077052181,625.3654815980262,339.6399541193043,0.0
