,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,27.013263294305364,4.117351424904793,34.52116941304553,468.4130492055385,33.97876350545625,49.65853388212217,15.787255541923873,104.06025836039197,42.23331490813246
tom,27.013263294305364,0.0,415.0911646254538,11.824724476062737,1295.5144802600482,101.87238010863001,220.2694217992679,604.194209250877,65.6329879127063,172.78714278149695
huck,4.117351424904793,415.0911646254538,0.0,2237.914873730773,1652.4163271571372,616.047447886082,1090.4955620800913,132.49396054070883,1581.262476856073,285.2646495114345
sally,34.52116941304553,11.824724476062737,2237.914873730773,0.0,2038.5483793237959,2526.2907814373975,7191.595716989151,5159.595741103854,256.8445130954072,3404.7290348107354
mary jane,468.4130492055385,1295.5144802600482,1652.4163271571372,2038.5483793237959,0.0,2178.7216397533075,5325.7227175838625,4290.858995107392,4932.3006355091175,5351.624892834038
tom sawyer,33.97876350545625,101.87238010863001,616.047447886082,2526.2907814373975,2178.7216397533075,0.0,119.08913777656116,1198.1821451603682,1135.553801288792,151.44115099043808
watson,49.65853388212217,220.2694217992679,1090.4955620800913,7191.595716989151,5325.7227175838625,119.08913777656116,0.0,2003.4228369165767,8831.17860805481,2986.407055342741
dey,15.787255541923873,604.194209250877,132.49396054070883,5159.595741103854,4290.858995107392,1198.1821451603682,2003.4228369165767,0.0,6891.0585304590495,1933.716573242845
sid,104.06025836039197,65.6329879127063,1581.262476856073,256.8445130954072,4932.3006355091175,1135.553801288792,8831.17860805481,6891.0585304590495,0.0,5033.042366829906
huck finn,42.23331490813246,172.78714278149695,285.2646495114345,3404.7290348107354,5351.624892834038,151.44115099043808,2986.407055342741,1933.716573242845,5033.042366829906,0.0
