,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,2.0858658898106675,5.396990201054568,23.601248587281038,2.1796786568682642,13.51268620748872,29.225160944688337,86.5376213701776,65.08210518268567,23.701220896251836
marie,2.0858658898106675,0.0,25.96596203535315,61.09168710602102,37.35051953042237,27.524545958097686,75.0759896690713,111.11139091052074,134.7410356863778,30.236108917045364
lourdes,5.396990201054568,25.96596203535315,0.0,42.099609347557866,81.84569955627863,33.07828353142653,63.67585607142211,145.74666433848392,107.35273601833755,47.088208205431584
bernadette,23.601248587281038,61.09168710602102,42.099609347557866,0.0,216.1864303081234,208.23906489313845,285.4388438095413,327.46973221562695,383.432120427139,318.42001968821984
m. de guersaint,2.1796786568682642,37.35051953042237,81.84569955627863,216.1864303081234,0.0,370.0058981003292,165.61029847918311,500.41860090664574,208.82501304541196,142.87287420832106
hyacinthe,13.51268620748872,27.524545958097686,33.07828353142653,208.23906489313845,370.0058981003292,0.0,452.143109966542,370.9654039570267,606.71398960852,50.166930881726906
raymonde,29.225160944688337,75.0759896690713,63.67585607142211,285.4388438095413,165.61029847918311,452.143109966542,0.0,426.78877826379625,210.71924459582112,648.7305297487194
berthaud,86.5376213701776,111.11139091052074,145.74666433848392,327.46973221562695,500.41860090664574,370.9654039570267,426.78877826379625,0.0,394.53737164520425,1034.4690468008853
gerard,65.08210518268567,134.7410356863778,107.35273601833755,383.432120427139,208.82501304541196,606.71398960852,210.71924459582112,394.53737164520425,0.0,1254.1420696716211
la grivotte,23.701220896251836,30.236108917045364,47.088208205431584,318.42001968821984,142.87287420832106,50.166930881726906,648.7305297487194,1034.4690468008853,1254.1420696716211,0.0
