,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,10.870138577578611,15.369264449747282,37.61613315727304,53.87587212395853,68.87339735661509,55.02956509556915,44.983215099256014,18.110613976873978,184.53103941527837
astley,10.870138577578611,0.0,55.764644573791756,87.042102388363,163.718384385107,63.70984749664127,128.54315801414643,110.76323711620755,45.98405169438252,409.20707487679744
de griers,15.369264449747282,55.764644573791756,0.0,18.94786912398422,41.086244127503335,153.85664015749487,13.547516313090755,679.1937116374553,672.4427026124418,238.85654443780805
alexis ivanovitch,37.61613315727304,87.042102388363,18.94786912398422,0.0,75.72604554005676,672.182003463736,22.44513128847619,1070.3532589258903,1373.5308465923667,752.4741674129539
potapitch,53.87587212395853,163.718384385107,41.086244127503335,75.72604554005676,0.0,697.8181513384759,34.4094117595469,1553.7884501580759,1928.9451241322806,1433.0224273693266
blanche,68.87339735661509,63.70984749664127,153.85664015749487,672.182003463736,697.8181513384759,0.0,1138.6088080856634,1184.0660846820008,1519.8735719198746,1770.9720712432922
martha,55.02956509556915,128.54315801414643,13.547516313090755,22.44513128847619,34.4094117595469,1138.6088080856634,0.0,1820.834649038132,2316.0736783577577,1835.574934519006
polina alexandrovna,44.983215099256014,110.76323711620755,679.1937116374553,1070.3532589258903,1553.7884501580759,1184.0660846820008,1820.834649038132,0.0,484.4530895394386,1118.855711250068
marquis,18.110613976873978,45.98405169438252,672.4427026124418,1373.5308465923667,1928.9451241322806,1519.8735719198746,2316.0736783577577,484.4530895394386,0.0,653.2234233753582
baroness,184.53103941527837,409.20707487679744,238.85654443780805,752.4741674129539,1433.0224273693266,1770.9720712432922,1835.574934519006,1118.855711250068,653.2234233753582,0.0
