,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,43.370560350772465,39.384080371979344,16.9920898273427,46.18691164343476,15.335343107169134,16.586221338855246,12.411485225640421,11.74874143721546,31.054276632743132
lebedeff,43.370560350772465,0.0,31.65058711131634,8.397539468700822,58.67647093166469,39.948430915043716,13.036345408121232,18.15179412822619,23.185658089926104,45.99014516841987
rogojin,39.384080371979344,31.65058711131634,0.0,58.95553784057576,27.396187842957513,40.448276503852966,33.34906677951182,83.7748680665896,67.24527959127307,13.911478404452147
hippolyte,16.9920898273427,8.397539468700822,58.95553784057576,0.0,167.33741678384442,177.35638765185791,55.65596849423884,29.834092338317202,22.086303584893773,141.00976130155667
nastasia philipovna,46.18691164343476,58.67647093166469,27.396187842957513,167.33741678384442,0.0,60.72407209385233,94.80491455637642,150.3753877416129,151.47020497859782,13.428028790299345
epanchin,15.335343107169134,39.948430915043716,40.448276503852966,177.35638765185791,60.72407209385233,0.0,107.54474381698809,153.1338133188645,173.48222172686926,98.11017079720726
colia,16.586221338855246,13.036345408121232,33.34906677951182,55.65596849423884,94.80491455637642,107.54474381698809,0.0,68.83321621925339,105.99836136652577,92.47633343854037
lizabetha prokofievna,12.411485225640421,18.15179412822619,83.7748680665896,29.834092338317202,150.3753877416129,153.1338133188645,68.83321621925339,0.0,40.993725889123446,160.54228181935386
evgenie pavlovitch,11.74874143721546,23.185658089926104,67.24527959127307,22.086303584893773,151.47020497859782,173.48222172686926,105.99836136652577,40.993725889123446,0.0,174.40209949239423
nastasia,31.054276632743132,45.99014516841987,13.911478404452147,141.00976130155667,13.428028790299345,98.11017079720726,92.47633343854037,160.54228181935386,174.40209949239423,0.0
