,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,1383.27239227873,1853.9276144717912,1069.3016966216064,1583.2355489980782,381.9699461323943,100.45099393731834,2531.667561886528,1594.3402322856962,2831.07985493623
barlow,1383.27239227873,0.0,332.996116041815,1906.8319038693633,1356.3116922099828,2945.6834695781076,3225.149233219286,490.5754666369855,2298.1317738211123,510.8401049187255
titbull,1853.9276144717912,332.996116041815,0.0,1482.6539780598785,908.0919109780222,2471.024279609211,2750.431972716436,13.347340693697712,1719.011004674784,9.20370158172312
testator,1069.3016966216064,1906.8319038693633,1482.6539780598785,0.0,649.415827538596,824.8270359891363,1104.3624692097756,1749.8746518950554,245.39931387608735,2032.9417264511967
flipfield,1583.2355489980782,1356.3116922099828,908.0919109780222,649.415827538596,0.0,1512.8342851653208,1792.3416916058372,1024.4576812834312,570.1529934809264,1209.461262960739
pangloss,381.9699461323943,2945.6834695781076,2471.024279609211,824.8270359891363,1512.8342851653208,0.0,279.0258123469095,2627.568444669967,1240.945347537494,3028.197933237891
grazinglands,100.45099393731834,3225.149233219286,2750.431972716436,1104.3624692097756,1792.3416916058372,279.0258123469095,0.0,2925.7191117351927,1584.311432282399,3371.5326568349424
battens,2531.667561886528,490.5754666369855,13.347340693697712,1749.8746518950554,1024.4576812834312,2627.568444669967,2925.7191117351927,0.0,1731.9757048583772,33.07586002509772
klem,1594.3402322856962,2298.1317738211123,1719.011004674784,245.39931387608735,570.1529934809264,1240.945347537494,1584.311432282399,1731.9757048583772,0.0,1787.0810738426953
mitts,2831.07985493623,510.8401049187255,9.20370158172312,2032.9417264511967,1209.461262960739,3028.197933237891,3371.5326568349424,33.07586002509772,1787.0810738426953,0.0
