,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,1.2080236087837415,1.7693826443586318,0.4897452426030357,3.4980030522927517,1.8432691206305392,1.3562751292851625,1.8145011947781213,0.6725736483668734,1.353552871197077
darcy,1.2080236087837415,0.0,6.90064565340622,5.380393249920227,4.700513471102279,6.345042394485802,10.77749611335376,11.879250141788347,8.951529465708319,3.9368492948380545
bennet,1.7693826443586318,6.90064565340622,0.0,8.98610376269621,5.28599602302202,22.517079754958015,22.261632883315123,17.423554142671417,33.843906824868846,2.553448573456873
jane,0.4897452426030357,5.380393249920227,8.98610376269621,0.0,18.5374476631927,11.734411877254091,32.68600243595258,8.83895012217896,21.448074113275627,2.645890872122449
bingley,3.4980030522927517,4.700513471102279,5.28599602302202,18.5374476631927,0.0,55.005470606094526,45.4312697139218,55.821683445054596,67.23874653741966,9.341718515074673
wickham,1.8432691206305392,6.345042394485802,22.517079754958015,11.734411877254091,55.005470606094526,0.0,55.71696214338192,15.09276238510164,23.421934795169463,29.63153908486664
collins,1.3562751292851625,10.77749611335376,22.261632883315123,32.68600243595258,45.4312697139218,55.71696214338192,0.0,88.39675016590161,114.23114185597814,89.65165384126962
lydia,1.8145011947781213,11.879250141788347,17.423554142671417,8.83895012217896,55.821683445054596,15.09276238510164,88.39675016590161,0.0,23.467776963381198,26.61235076313847
gardiner,0.6725736483668734,8.951529465708319,33.843906824868846,21.448074113275627,67.23874653741966,23.421934795169463,114.23114185597814,23.467776963381198,0.0,117.11398338747772
lizzy,1.353552871197077,3.9368492948380545,2.553448573456873,2.645890872122449,9.341718515074673,29.63153908486664,89.65165384126962,26.61235076313847,117.11398338747772,0.0
