,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,27.984539820983517,10.184649300628175,17.335582167432506,6.765829992036977,13.205404282058447,9.58368943642096,66.16974599111667,52.098046544473576,82.17208104455678
jean,27.984539820983517,0.0,12.806347322517425,14.9992898991878,42.460397802682955,77.12774057407226,33.290666351825024,52.6112184644298,107.6523673117341,15.350907144028756
françoise,10.184649300628175,12.806347322517425,0.0,52.00567135621428,55.719428670615585,88.85419987242867,65.17597753616653,69.05325082597767,103.06939769272515,71.50885070848331
lise,17.335582167432506,14.9992898991878,52.00567135621428,0.0,93.59551390175551,123.85325766959537,71.3475924038118,89.65445537766115,128.87989057352706,82.49352429464703
fouan,6.765829992036977,42.460397802682955,55.719428670615585,93.59551390175551,0.0,79.79259494375763,52.66765578581525,178.92028523733464,117.46910033767536,189.35475203917
hyacinthe,13.205404282058447,77.12774057407226,88.85419987242867,123.85325766959537,79.79259494375763,0.0,132.81733843680135,184.61430682905137,95.8802510174619,332.97218179280037
delhomme,9.58368943642096,33.290666351825024,65.17597753616653,71.3475924038118,52.66765578581525,132.81733843680135,0.0,258.52043871419545,160.62968547884614,281.2225951917118
hourdequin,66.16974599111667,52.6112184644298,69.05325082597767,89.65445537766115,178.92028523733464,184.61430682905137,258.52043871419545,0.0,193.9526100087495,307.92849413970646
macqueron,52.098046544473576,107.6523673117341,103.06939769272515,128.87989057352706,117.46910033767536,95.8802510174619,160.62968547884614,193.9526100087495,0.0,729.175208376229
jacqueline,82.17208104455678,15.350907144028756,71.50885070848331,82.49352429464703,189.35475203917,332.97218179280037,281.2225951917118,307.92849413970646,729.175208376229,0.0
