,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,0.5517522675965839,1.3313759120351851,5.556945256123362,0.4839599402414617,3.0880729198357724,5.454509405548724,16.01246970025226,12.008004378279802,4.413605114737575
marie,0.5517522675965839,0.0,6.3020542587467085,13.902275650362805,8.09043138124979,6.456349168125341,14.239286921371328,20.392690732065827,24.473733464932174,5.563027082942249
lourdes,1.3313759120351851,6.3020542587467085,0.0,9.77855979145717,17.31599791052569,7.850109911356063,11.896883182451914,26.05006684211959,19.54592148493308,8.923303612196475
bernadette,5.556945256123362,13.902275650362805,9.77855979145717,0.0,48.87957056374907,49.096616312242325,54.75977585737188,59.1792283281459,69.79924693059363,61.12068071053618
m. de guersaint,0.4839599402414617,8.09043138124979,17.31599791052569,48.87957056374907,0.0,84.82374147286792,30.830439228776594,89.9196554730673,38.28955842035858,27.166945590330425
hyacinthe,3.0880729198357724,6.456349168125341,7.850109911356063,49.096616312242325,84.82374147286792,0.0,80.58200735240874,65.46752693132949,107.95892259563895,9.625286616656837
raymonde,5.454509405548724,14.239286921371328,11.896883182451914,54.75977585737188,30.830439228776594,80.58200735240874,0.0,80.37453904022362,38.65762078938696,119.8350915505583
berthaud,16.01246970025226,20.392690732065827,26.05006684211959,59.1792283281459,89.9196554730673,65.46752693132949,80.37453904022362,0.0,69.28021367606318,192.15786683423445
gerard,12.008004378279802,24.473733464932174,19.54592148493308,69.79924693059363,38.28955842035858,107.95892259563895,38.65762078938696,69.28021367606318,0.0,233.34096635221152
la grivotte,4.413605114737575,5.563027082942249,8.923303612196475,61.12068071053618,27.166945590330425,9.625286616656837,119.8350915505583,192.15786683423445,233.34096635221152,0.0
