,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,60.07651047090355,41.55081665643644,37.96054100957574,51.10940174166018,124.28368230951719,78.98868863726241,40.76019999280622,63.3331050408212,80.24761305329348
ferguson,60.07651047090355,0.0,80.73787625944729,20.441968481174822,48.75084892608773,45.33433765824777,96.64311978775942,87.65445272072364,96.81892540391613,150.63861245593438
stillman,41.55081665643644,80.73787625944729,0.0,59.551528351506086,80.21093228973048,146.10606609905363,90.19227742826664,59.25448880231441,55.212771995700386,78.30647431448394
ham sandwich,37.96054100957574,20.441968481174822,59.551528351506086,0.0,45.97809311834002,81.89974937811941,54.704820087614415,51.627399488454316,52.061063071760614,98.03916542659255
flint buckner,51.10940174166018,48.75084892608773,80.21093228973048,45.97809311834002,0.0,83.78136152164001,58.007752765948794,81.1470980305832,69.9036851370483,92.91214290201043
buckner,124.28368230951719,45.33433765824777,146.10606609905363,81.89974937811941,83.78136152164001,0.0,229.5445903485465,225.4142498493331,178.31468816173924,194.29745622957145
sherlock holmes,78.98868863726241,96.64311978775942,90.19227742826664,54.704820087614415,58.007752765948794,229.5445903485465,0.0,34.35782370743268,49.061851864573946,57.8561248783736
holmes,40.76019999280622,87.65445272072364,59.25448880231441,51.627399488454316,81.1470980305832,225.4142498493331,34.35782370743268,0.0,51.45426036489369,55.10641203878264
fetlock jones,63.3331050408212,96.81892540391613,55.212771995700386,52.061063071760614,69.9036851370483,178.31468816173924,49.061851864573946,51.45426036489369,0.0,51.217665226049355
hillyer,80.24761305329348,150.63861245593438,78.30647431448394,98.03916542659255,92.91214290201043,194.29745622957145,57.8561248783736,55.10641203878264,51.217665226049355,0.0
