,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,204.18798222052143,120.08178885624068,136.84645132718845,44.29981742191658,37.47896753027995,17.872973361934605,154.0504780821551,53.8567182212597,156.89782879733906
grewgious,204.18798222052143,0.0,66.36435568618118,59.421640671219784,60.388152467058354,155.36833598839223,218.0375660753545,69.9837344084134,86.53077659518992,165.77367183785805
crisparkle,120.08178885624068,66.36435568618118,0.0,73.55265044645986,13.663857556344734,100.02747294900196,148.12121166825563,17.990121923108827,96.10801007360611,95.28682188529473
rosa,136.84645132718845,59.421640671219784,73.55265044645986,0.0,156.64771609947616,93.25044567037902,107.29468779389913,39.43779604058143,107.78268805343635,21.731242551428142
neville,44.29981742191658,60.388152467058354,13.663857556344734,156.64771609947616,0.0,127.58290331703174,186.04781448972219,82.72351344269654,141.2874909664911,267.3782005706135
sapsea,37.47896753027995,155.36833598839223,100.02747294900196,93.25044567037902,127.58290331703174,0.0,55.12933731122326,289.4732296718393,237.48751964034187,309.05563081728604
durdles,17.872973361934605,218.0375660753545,148.12121166825563,107.29468779389913,186.04781448972219,55.12933731122326,0.0,470.0660796546012,215.4601470109474,507.77982431789115
helena,154.0504780821551,69.9837344084134,17.990121923108827,39.43779604058143,82.72351344269654,289.4732296718393,470.0660796546012,0.0,562.4011806423943,194.59013951693254
edwin,53.8567182212597,86.53077659518992,96.10801007360611,107.78268805343635,141.2874909664911,237.48751964034187,215.4601470109474,562.4011806423943,0.0,529.7766049348505
twinkleton,156.89782879733906,165.77367183785805,95.28682188529473,21.731242551428142,267.3782005706135,309.05563081728604,507.77982431789115,194.59013951693254,529.7766049348505,0.0
