,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,23.795220247946503,133.1713221061583,86.90314409361491,15.115207520325674,169.31138604810712,163.73686817249134,160.79573590706246,31.607403499308603,77.94219198115799
trotty,23.795220247946503,0.0,138.17160547981229,61.925239986413644,50.53426976591707,109.25909953800299,259.2844092155921,91.98080544192123,83.24320637149836,89.33593432635882
toby,133.1713221061583,138.17160547981229,0.0,95.17493986308821,425.44956093846844,99.84786852317082,1045.4301339158546,188.0276615403986,1091.5291572693723,6.942850413264505
alderman,86.90314409361491,61.925239986413644,95.17493986308821,0.0,428.4270747001002,112.8011709446551,943.7487979093787,90.78269896248344,929.6584474036977,520.0571778413364
richard,15.115207520325674,50.53426976591707,425.44956093846844,428.4270747001002,0.0,533.1834672802571,231.5093202833735,270.8489958229876,101.20499948604079,742.7153442659707
joseph,169.31138604810712,109.25909953800299,99.84786852317082,112.8011709446551,533.1834672802571,0.0,991.5720969918573,77.66025127070078,1035.4778515471935,856.072979933482
tugby,163.73686817249134,259.2844092155921,1045.4301339158546,943.7487979093787,231.5093202833735,991.5720969918573,0.0,948.3552796632383,209.26714692710365,2785.7390535578934
fish,160.79573590706246,91.98080544192123,188.0276615403986,90.78269896248344,270.8489958229876,77.66025127070078,948.3552796632383,0.0,886.5807115192383,1093.9266351813317
lilian,31.607403499308603,83.24320637149836,1091.5291572693723,929.6584474036977,101.20499948604079,1035.4778515471935,209.26714692710365,886.5807115192383,0.0,2442.122134493123
toby veck,77.94219198115799,89.33593432635882,6.942850413264505,520.0571778413364,742.7153442659707,856.072979933482,2785.7390535578934,1093.9266351813317,2442.122134493123,0.0
