,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,10.622439824989156,9.871720324261059,1.6463796028384663,2.563535717762933,19.96094335412268,3.794215591770095,4.929589150009896,5.858697161359575,12.140481271546943
elliot,10.622439824989156,0.0,150.05586140524522,194.99169021763393,117.52046951768789,219.71110318034945,162.42496046194333,157.19879584641933,84.72212639262354,231.46657278350472
wentworth,9.871720324261059,150.05586140524522,0.0,38.52931078897097,79.30651344876667,125.749987344914,21.1028724872594,27.19168698417833,129.8675443867086,13.31482497597582
mary,1.6463796028384663,194.99169021763393,38.52931078897097,0.0,110.03254719053074,128.23493427387635,23.7041457339944,73.68791604730183,101.79572883147978,56.92512794540164
lady russell,2.563535717762933,117.52046951768789,79.30651344876667,110.03254719053074,0.0,107.99269059320198,170.45543333620498,218.2758249536345,41.13079554002764,248.96568657578146
walter,19.96094335412268,219.71110318034945,125.749987344914,128.23493427387635,107.99269059320198,0.0,173.2526733616107,286.694483608097,21.301236963365028,335.2516559286398
charles,3.794215591770095,162.42496046194333,21.1028724872594,23.7041457339944,170.45543333620498,173.2526733616107,0.0,108.406993106038,181.7941623237576,57.43232583065754
louisa,4.929589150009896,157.19879584641933,27.19168698417833,73.68791604730183,218.2758249536345,286.694483608097,108.406993106038,0.0,299.77685258525815,46.91442571160607
elizabeth,5.858697161359575,84.72212639262354,129.8675443867086,101.79572883147978,41.13079554002764,21.301236963365028,181.7941623237576,299.77685258525815,0.0,407.18193922481714
henrietta,12.140481271546943,231.46657278350472,13.31482497597582,56.92512794540164,248.96568657578146,335.2516559286398,57.43232583065754,46.91442571160607,407.18193922481714,0.0
