,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,67.60124714990614,17.220264794809776,127.50055133345347,191.0429810010801,79.21687303225693,83.11891270245775,77.48832498291738,62.424143926761886,341.0702833481007
alice,67.60124714990614,0.0,171.58867530795837,218.50047470252358,92.82446866250713,25.534810185765288,23.817431712608187,45.720785889650195,15.895048814550513,456.5341816764334
wildrake,17.220264794809776,171.58867530795837,0.0,316.6003513347777,307.5232286893546,153.61868395633698,156.3591868959558,297.43039295425615,202.68387648350526,736.1656909804424
cromwell,127.50055133345347,218.50047470252358,316.6003513347777,0.0,483.8829993242137,325.7896287888382,340.78152473954736,301.94844459998814,435.76418860549967,12.57951546946749
albert,191.0429810010801,92.82446866250713,307.5232286893546,483.8829993242137,0.0,263.229152500953,317.9742361164033,237.89666117348298,201.69154563961504,734.9646968283619
henry,79.21687303225693,25.534810185765288,153.61868395633698,325.7896287888382,263.229152500953,0.0,86.27803875687279,236.88598974972962,239.8110434738265,796.5325791766453
joceline,83.11891270245775,23.817431712608187,156.3591868959558,340.78152473954736,317.9742361164033,86.27803875687279,0.0,549.6786500006856,466.24938650101956,1090.4064916203656
rochecliffe,77.48832498291738,45.720785889650195,297.43039295425615,301.94844459998814,237.89666117348298,236.88598974972962,549.6786500006856,0.0,179.63906703393624,544.0390749475542
charles,62.424143926761886,15.895048814550513,202.68387648350526,435.76418860549967,201.69154563961504,239.8110434738265,466.24938650101956,179.63906703393624,0.0,720.1200781897307
pearson,341.0702833481007,456.5341816764334,736.1656909804424,12.57951546946749,734.9646968283619,796.5325791766453,1090.4064916203656,544.0390749475542,720.1200781897307,0.0
