,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,10.664987860352152,1.2053727160708172,5.051755802331983,17.742047941727403,9.230616684950654,6.820278091495431,13.836513119122559,1.6605540284948612,11.967015199618153
edith,10.664987860352152,0.0,50.258613906582404,25.869131932526717,107.65648219618227,17.903468764313565,6.265338155845868,19.510361678780548,31.87177370623156,36.66989626048363
burley,1.2053727160708172,50.258613906582404,0.0,42.385359968180516,141.3816847286302,34.20475163785292,28.73565006167763,67.07624697635472,1.4422929200636871,82.5527792023035
cuddie,5.051755802331983,25.869131932526717,42.385359968180516,0.0,105.20003939375603,21.75223482928132,21.683864204213865,37.52960397957508,31.6832968590097,13.722535120862938
bothwell,17.742047941727403,107.65648219618227,141.3816847286302,105.20003939375603,0.0,172.90290309999784,194.22579806607968,63.624373442278596,229.406666146756,42.12430175743543
jenny,9.230616684950654,17.903468764313565,34.20475163785292,21.75223482928132,172.90290309999784,0.0,18.55931974809333,87.4196179982149,66.72618449601258,66.31333547238454
bellenden,6.820278091495431,6.265338155845868,28.73565006167763,21.683864204213865,194.22579806607968,18.55931974809333,0.0,137.6921957380681,41.334617496232255,104.40403546434425
lady margaret,13.836513119122559,19.510361678780548,67.07624697635472,37.52960397957508,63.624373442278596,87.4196179982149,137.6921957380681,0.0,125.43212089058154,48.741817399550726
balfour,1.6605540284948612,31.87177370623156,1.4422929200636871,31.6832968590097,229.406666146756,66.72618449601258,41.334617496232255,125.43212089058154,0.0,263.37917435357883
milnwood,11.967015199618153,36.66989626048363,82.5527792023035,13.722535120862938,42.12430175743543,66.31333547238454,104.40403546434425,48.741817399550726,263.37917435357883,0.0
