,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,1005.8967739222321,299.76893507262014,842.8491435006139,527.9239624037914,1597.0940013641741,319.2901013457116,1673.6383468407857,11.867101541886155,837.799515587841
davis,1005.8967739222321,0.0,1409.0835873115211,533.6915094539725,2052.9781372415673,459.1703635144097,933.8756912454676,355.57834326457254,1971.8047190537623,798.1088950510112
courier,299.76893507262014,1409.0835873115211,0.0,1303.7844396540256,340.31145640422784,1991.0659186708388,624.997874682474,2002.8035604599145,360.7814209625813,1103.4205255263146
piazza,842.8491435006139,533.6915094539725,1303.7844396540256,0.0,1650.351174150705,386.79960767796643,296.150882256672,327.51360126232163,926.9262420640598,124.14532376105458
goblin,527.9239624037914,2052.9781372415673,340.31145640422784,1650.351174150705,0.0,2755.3336420711385,1425.6334266816816,3031.1230472989782,840.1058891905568,2140.0596253537014
peter,1597.0940013641741,459.1703635144097,1991.0659186708388,386.79960767796643,2755.3336420711385,0.0,1279.1298624712758,157.6154249930555,2199.0459027934353,987.2058486117578
cicerone,319.2901013457116,933.8756912454676,624.997874682474,296.150882256672,1425.6334266816816,1279.1298624712758,0.0,1344.233133074754,605.5893326976579,358.5034600320002
campagna,1673.6383468407857,355.57834326457254,2002.8035604599145,327.51360126232163,3031.1230472989782,157.6154249930555,1344.233133074754,0.0,2184.2135008041723,906.7934553784822
low,11.867101541886155,1971.8047190537623,360.7814209625813,926.9262420640598,840.1058891905568,2199.0459027934353,605.5893326976579,2184.2135008041723,0.0,1226.115271542994
signore,837.799515587841,798.1088950510112,1103.4205255263146,124.14532376105458,2140.0596253537014,987.2058486117578,358.5034600320002,906.7934553784822,1226.115271542994,0.0
