,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,89.84905947852039,19.388557031983847,46.84759620853994,31.68724224538589,63.14876077301281,6.609737553695427,3.826433388518416,7.360667025737848,136.51512069614208
mitya,89.84905947852039,0.0,164.6033052974938,82.87393098819005,326.02871546346324,19.28477477368444,172.66353561468026,445.8347568639955,62.79552689672049,39.35364328261148
ivan,19.388557031983847,164.6033052974938,0.0,44.059309792166125,104.34279314878003,267.96316472769803,41.651646074169314,12.713606663171953,235.3327967071766,350.02067398830957
smerdyakov,46.84759620853994,82.87393098819005,44.059309792166125,0.0,876.4287106097395,394.10506245877167,279.3664190993499,918.1948171207152,391.45048436452066,372.50760967471876
fyodor pavlovitch,31.68724224538589,326.02871546346324,104.34279314878003,876.4287106097395,0.0,597.6543016536159,255.88013338992525,146.13627058544546,404.80958497842084,363.9950058580585
grushenka,63.14876077301281,19.28477477368444,267.96316472769803,394.10506245877167,597.6543016536159,0.0,350.47837983401473,746.7230688931279,125.67335492305266,138.75370741349258
katerina ivanovna,6.609737553695427,172.66353561468026,41.651646074169314,279.3664190993499,255.88013338992525,350.47837983401473,0.0,601.0162647285426,567.8629322337574,706.326028000488
dmitri,3.826433388518416,445.8347568639955,12.713606663171953,918.1948171207152,146.13627058544546,746.7230688931279,601.0162647285426,0.0,985.1280685380652,937.8306201320275
rakitin,7.360667025737848,62.79552689672049,235.3327967071766,391.45048436452066,404.80958497842084,125.67335492305266,567.8629322337574,985.1280685380652,0.0,407.57552828002235
dmitri fyodorovitch,136.51512069614208,39.35364328261148,350.02067398830957,372.50760967471876,363.9950058580585,138.75370741349258,706.326028000488,937.8306201320275,407.57552828002235,0.0
